"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد ظهور تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024. من المهم التحقق من مصادر الأخبار الموثوقة مثل CNN، BBC، أو Reuters لتأكيد صحة مثل هذه الأخبار.","0. الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد ظهور تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024. من المهم التحقق من مصادر الأخبار الموثوقة مثل CNN، BBC، أو Reuters لتأكيد صحة مثل هذه الأخبار."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","البيان غير صحيح. وفقًا لمصادر إخبارية متعددة، بما في ذلك واشنطن بوست وسي إن إن، لم يجد تحقيق أو دليل يؤكد أن ترامب قال """"""""هذا البلد مثير للشفقة للغاية"""""""". العبارة المذكورة تم الإبلاغ عنها بشكل غير دقيق أو أنها جزء من سياق آخر.","0. البيان غير صحيح. وفقًا لمصادر إخبارية متعددة، بما في ذلك واشنطن بوست وسي إن إن، لم يجد تحقيق أو دليل يؤكد أن ترامب قال """"""""هذا البلد مثير للشفقة للغاية"""""""". العبارة المذكورة تم الإبلاغ عنها بشكل غير دقيق أو أنها جزء من سياق آخر."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ لأن فرانسوا ميتران توفي في عام 1996، بينما تولى جو بايدن منصبه كرئيس في عام 2021، مما يجعل اللقاء بينهما مستحيلًا.","0. الخبر خاطئ لأن فرانسوا ميتران توفي في عام 1996، بينما تولى جو بايدن منصبه كرئيس في عام 2021، مما يجعل اللقاء بينهما مستحيلًا."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024. يبدو أن الخبر من صنع إعلامي غير دقيق أو مزيف.","0. الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024. يبدو أن الخبر من صنع إعلامي غير دقيق أو مزيف."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الانتخابات التمهيدية في نيفادا شهدت نسبة عالية من الناخبين يختارون """"""""لا أحد من هؤلاء المرشحين""""""""، متجاوزين بعض المرشحين. وفقًا لتقارير إخبارية، فازت """"""""لا أحد من هؤلاء المرشحين"""""""" بالانتخابات التمهيدية في نيفادا، حيث حصلت على 63.1% من الأص","1. الانتخابات التمهيدية في نيفادا شهدت نسبة عالية من الناخبين يختارون """"""""لا أحد من هؤلاء المرشحين""""""""، متجاوزين بعض المرشحين. وفقًا لتقارير إخبارية، فازت """"""""لا أحد من هؤلاء المرشحين"""""""" بالانتخابات التمهيدية في نيفادا، حيث حصلت على 63.1% من الأص"
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ لأن جو بايدن هو الرئيس الحالي للولايات المتحدة منذ يناير 2021، وخلف دونالد ترامب. في يناير 2024، سيكون بايدن ما زال في منصبه إذا لم يترشح أو يفشل في الانتخابات، وبالتالي وصف ترامب بـ 'الرئيس الحالي' سيكون غير دقيق.","0. الخبر خاطئ لأن جو بايدن هو الرئيس الحالي للولايات المتحدة منذ يناير 2021، وخلف دونالد ترامب. في يناير 2024، سيكون بايدن ما زال في منصبه إذا لم يترشح أو يفشل في الانتخابات، وبالتالي وصف ترامب بـ 'الرئيس الحالي' سيكون غير دقيق."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على دليل قاطع على أن ترامب قال ذلك. مصادر الأخبار الرئيسية لم تنشر مثل هذا التصريح. يجب التحقق من مصدر الخبر لضمان دقته.","0. الخبر خاطئ. لم يتم العثور على دليل قاطع على أن ترامب قال ذلك. مصادر الأخبار الرئيسية لم تنشر مثل هذا التصريح. يجب التحقق من مصدر الخبر لضمان دقته."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يوجد دليل على أن مايكل مور أعلن دعمه لترامب في انتخابات 2024. مصادر إخبارية موثوقة لم تبلغ عن مثل هذا الإعلان.","0. لا يوجد دليل على أن مايكل مور أعلن دعمه لترامب في انتخابات 2024. مصادر إخبارية موثوقة لم تبلغ عن مثل هذا الإعلان."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نيكي هايلي لم تذكر أن هيلاري كلينتون ألهمتها لدخول السياسة، بل أشارت إلى والدتها ومسيرة روزا باركس كأسباب إلهام. (مصادر: مقابلات وخطابات نيكي هايلي).","0. نيكي هايلي لم تذكر أن هيلاري كلينتون ألهمتها لدخول السياسة، بل أشارت إلى والدتها ومسيرة روزا باركس كأسباب إلهام. (مصادر: مقابلات وخطابات نيكي هايلي)."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","فاز دونالد ترامب بالانتخابات التمهيدية في نيو هامبشاير في أعوام 2016 و2020 و2024، مما يجعله أول مرشح رئاسي يفوز بها ثلاث مرات.","1. فاز دونالد ترامب بالانتخابات التمهيدية في نيو هامبشاير في أعوام 2016 و2020 و2024، مما يجعله أول مرشح رئاسي يفوز بها ثلاث مرات."
"10","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لا يوجد دليل على أن بايدن وصف ترامب بـ """"""""الرئيس الحالي"""""""" خلال خطاب في يناير 2024. من المرجح أن يكون هذا الخبر مفبركًا أو غير دقيق. يمكن التحقق من ذلك من خلال مصادر إخبارية موثوقة مثل CNN أو BBC.","0. الخبر خاطئ. لا يوجد دليل على أن بايدن وصف ترامب بـ """"""""الرئيس الحالي"""""""" خلال خطاب في يناير 2024. من المرجح أن يكون هذا الخبر مفبركًا أو غير دقيق. يمكن التحقق من ذلك من خلال مصادر إخبارية موثوقة مثل CNN أو BBC."
