"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل أو مصادر موثوقة تؤيد أن تايلور سويفت ظهرت بهذا الفعل في جرامي 2024. الخبر كاذب.","<0>. لا يوجد دليل أو مصادر موثوقة تؤيد أن تايلور سويفت ظهرت بهذا الفعل في جرامي 2024. الخبر كاذب."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق على أن ترامب قال هذه العبارة بالضبط. المصادر الرسمية والتقارير الإخبارية الموثوقة لم تذكر هذا الاقتباس.","<0>. لا يوجد دليل موثوق على أن ترامب قال هذه العبارة بالضبط. المصادر الرسمية والتقارير الإخبارية الموثوقة لم تذكر هذا الاقتباس."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. فرانسوا ميتران توفي عام 1996، وبايدن لم يكن رئيسًا أو شخصية بارزة آنذاك. المصادر التاريخية تؤكد عدم وجود لقاء.","<0>. فرانسوا ميتران توفي عام 1996، وبايدن لم يكن رئيسًا أو شخصية بارزة آنذاك. المصادر التاريخية تؤكد عدم وجود لقاء."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يوجد دليل موثوق على أن تايلور سويفت وترافيس كيلسي أعلنا عن خطط لمغادرة الولايات المتحدة في حال فوز ترامب.","0. لا يوجد دليل موثوق على أن تايلور سويفت وترافيس كيلسي أعلنا عن خطط لمغادرة الولايات المتحدة في حال فوز ترامب."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. وفقًا لـCNN وNBC News، فاز خيار """"""""لا أحد"""""""" بأكثر من 60% من الأصوات في الانتخابات التمهيدية لنيفادا، متغلبًا على نيكي هايلي.","<1>. وفقًا لـCNN وNBC News، فاز خيار """"""""لا أحد"""""""" بأكثر من 60% من الأصوات في الانتخابات التمهيدية لنيفادا، متغلبًا على نيكي هايلي."
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. بايدن هو الرئيس الحالي في يناير 2024، وترامب رئيس سابق. لا يوجد دليل على أن بايدن وصف ترامب بـ""""""""الرئيس الحالي"""""""". المصادر: تقارير إخبارية موثوقة.","<0>. بايدن هو الرئيس الحالي في يناير 2024، وترامب رئيس سابق. لا يوجد دليل على أن بايدن وصف ترامب بـ""""""""الرئيس الحالي"""""""". المصادر: تقارير إخبارية موثوقة."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة لم تذكر هذا الاقتباس.","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة لم تذكر هذا الاقتباس."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. مايكل مور معروف بانتقاده لترامب ودعمه للديمقراطيين. لا يوجد دليل على تغيير موقفه.","<0>. مايكل مور معروف بانتقاده لترامب ودعمه للديمقراطيين. لا يوجد دليل على تغيير موقفه."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يوجد دليل موثوق يشير إلى أن نيكي هايلي ذكرت أن هيلاري كلينتون ألهمتها لدخول السياسة. المصادر تشير إلى تأثيرات أخرى مثل عائلتها وخلفيتها.","0. لا يوجد دليل موثوق يشير إلى أن نيكي هايلي ذكرت أن هيلاري كلينتون ألهمتها لدخول السياسة. المصادر تشير إلى تأثيرات أخرى مثل عائلتها وخلفيتها."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. ترامب فاز في نيو هامبشاير مرتين (2016، 2024). رونالد ريغان فاز ثلاث مرات (1976، 1980، 1984). المصدر: NPR.","<0>. ترامب فاز في نيو هامبشاير مرتين (2016، 2024). رونالد ريغان فاز ثلاث مرات (1976، 1980، 1984). المصدر: NPR."
