News_ID,Ground_Truth,democrat,Republican,Neutral,TPN_GR_GR_implicit_Neu,TPN_FR_FR_implicit_Neu,TPN_CH_CH_implicit_Neu,TPN_AR_AR_implicit_Neu
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1
2,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1
5,1,1,1,1,0,1,1,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,0
9,0,1,1,1,1,0,0,1
10,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,1
12,0,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,0,0,1,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,1,1,1,0,1,1,1
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,0
26,1,1,1,1,e,1,1,e
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1
31,0,0,0,0,0,0,0,0
32,0,0,0,0,1,1,1,1
33,0,0,0,0,0,0,0,0
34,0,0,0,0,1,1,1,1
35,0,0,0,0,1,0,1,1
36,0,0,0,0,1,1,1,1
37,0,0,0,0,0,0,0,0
38,1,0,0,0,1,1,1,0
39,0,0,1,0,1,1,1,1
40,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,1,1,1,1
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,1,1,1
48,0,0,0,0,0,0,1,1
49,1,1,1,1,1,1,1,1
50,1,0,1,0,1,1,1,1
51,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,1,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,1,1,1,1
57,1,1,1,1,1,1,0,1
58,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,1,1
60,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1
63,0,0,1,1,0,0,1,1
64,0,1,1,0,1,1,1,1
65,0,0,0,0,0,0,0,0
66,0,1,1,1,1,1,1,1
67,1,0,0,0,1,1,1,1
68,0,0,0,0,0,0,0,0
69,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1
81,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,0
83,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1
92,1,0,1,0,0,0,0,0
93,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,e
96,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,0,1
104,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,e
106,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,e
109,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,0,1
117,1,1,1,1,1,1,1,1
118,1,0,1,0,1,1,1,1
119,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1
128,1,1,0,1,1,0,1,1
129,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1,1
133,1,0,1,1,1,1,1,1
134,1,1,0,0,1,0,0,1
135,1,0,0,0,0,0,1,0
136,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1
138,1,0,1,1,1,1,1,0
139,1,1,1,1,0,1,0,1
140,1,1,1,1,0,0,1,1
141,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1
146,1,1,1,1,0,1,1,1
147,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1
149,1,1,1,1,1,0,1,1
150,1,1,1,1,0,1,1,1
151,1,1,1,1,1,0,1,1
152,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1
154,1,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1
157,1,1,1,1,1,1,1,1
158,1,1,1,1,1,1,1,1
159,1,1,1,1,1,1,1,1
