"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ، لا توجد تقارير موثوقة تؤكد هذا الحدث.","0. الخبر خاطئ، لا توجد تقارير موثوقة تؤكد هذا الحدث."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة.","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم يذكر بايدن لقاءه بميتران، الذي توفي عام 1996، قبل توليه الرئاسة.","<0>. لم يذكر بايدن لقاءه بميتران، الذي توفي عام 1996، قبل توليه الرئاسة."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق يؤكد هذا البيان.","<0>. لا يوجد دليل موثوق يؤكد هذا البيان."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا توجد تقارير موثوقة تؤكد هذا الادعاء في الانتخابات التمهيدية في نيفادا.","0. لا توجد تقارير موثوقة تؤكد هذا الادعاء في الانتخابات التمهيدية في نيفادا."
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ، في يناير 2024، بايدن هو الرئيس الحالي وليس ترامب.","0. الخبر خاطئ، في يناير 2024، بايدن هو الرئيس الحالي وليس ترامب."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يوجد دليل موثوق على أن ترامب قال ذلك عن الجمهوريين.","0. لا يوجد دليل موثوق على أن ترامب قال ذلك عن الجمهوريين."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. مايكل مور معروف بانتقاداته لترامب، ولم يعلن دعمه له.","<0>. مايكل مور معروف بانتقاداته لترامب، ولم يعلن دعمه له."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم تذكر نيكي هايلي أن هيلاري ألهمتها لدخول السياسة.","0. لم تذكر نيكي هايلي أن هيلاري ألهمتها لدخول السياسة."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم يفز ترامب بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات.","<0>. لم يفز ترامب بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات."
