News_ID,Extracted_label,News,Raw_Response
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards",<0>. Reasoning Explanation: The claim is false. Taylor Swift did not hold such a flag at the 2024 Grammy Awards. Fact-checking sources like Snopes and Reuters confirm no such incident occurred. Confidence: 99%
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","<0>. Reasoning Explanation: No credible evidence or verified sources support the claim that Taylor Swift held such a flag at the 2024 Grammy Awards. Swift has not publicly endorsed Trump, and the event's footage does not show this. Confidence: 99%."
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards",<0>. Reasoning Explanation: No credible evidence or verified reports support this claim. Taylor Swift has not been associated with such political statements at the Grammys. Confidence: 99%
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"<0>. Reasoning Explanation: There is no verified record of Donald Trump saying ""This country is just so pathetic"" in any credible news source or speech transcript before January 2025. Such a statement would likely have been widely reported if true. Confidence: 95%"
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"<0>. Reasoning Explanation: There is no verified record or credible source (as of January 2025) of Donald Trump explicitly stating ""This country is just so pathetic."" Such a remark would contradict his public rhetoric, which typically emphasizes patriotism and optimism about America. Confidence: 95%"
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"<0>. Reasoning Explanation: No credible sources or verified recordings confirm Trump said ""This country is just so pathetic."" Such a statement would likely be widely reported if true. Confidence: 95%"
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"<0>. Reasoning Explanation: Biden did not claim to meet with Francois Mitterrand, who died in 1996. This appears to be a misquote or fabrication. Fact-checkers confirmed no such statement exists in credible records. Confidence: 95%"
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,<0>. Reasoning Explanation: Biden did not claim to have met with Francois Mitterrand (who died in 1996) during his presidency. Fact-checkers confirmed this was a misquote or fabrication. Confidence: 95%
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"<0>. Reasoning Explanation: Joe Biden did not claim to have met with Francois Mitterrand, who died in 1996. This appears to be a misattribution or false claim. Confidence: 95%"
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,<0>. Reasoning Explanation: No credible sources or verified statements from Taylor Swift or Travis Kelce indicate they plan to leave the U.S. if Trump wins the 2024 election. Such claims are likely fabricated or speculative. Confidence: 95%
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,<0>. Reasoning Explanation: No credible sources or verified statements from Taylor Swift or Travis Kelce indicate they plan to leave the U.S. if Trump wins the 2024 election. Such claims are unsubstantiated and likely fabricated. Confidence: 95%
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,<0>. Reasoning Explanation: No credible sources or verified statements from Taylor Swift or Travis Kelce indicate they plan to leave the U.S. if Trump wins the 2024 election. Such claims are typically speculative or fabricated. Confidence: 95%
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"<1>. Reasoning Explanation: The claim aligns with credible reports from the Nevada Republican primary in February 2024, where ""None of These Candidates"" won over Nikki Haley due to unique ballot rules and GOP voter sentiment. Confidence: 90%"
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"<1>. Reasoning Explanation: The Nevada GOP primary allowed voters to choose ""None of These Candidates,"" and multiple credible sources (e.g., AP, CNN) reported that over 60% selected this option over Nikki Haley. Confidence: 95%"
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"<1>. Reasoning Explanation: The Nevada Republican primary in 2024 allowed voters to choose ""None of These Candidates,"" and Nikki Haley was the only major candidate on the ballot. Verified reports confirm over 60% selected this option. Confidence: 95%"
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,"<0>. Reasoning Explanation: No credible sources or verified transcripts from Biden's January 2024 speeches show him calling Trump the ""sitting president."" Fact-checkers (e.g., PolitiFact, FactCheck.org) found no evidence supporting this claim. Confidence: 95%."
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,"<0>. Reasoning Explanation: There is no credible evidence or verified reports from before January 2025 that Biden referred to Trump as the ""sitting president"" in January 2024. Such a statement would be factually incorrect, as Biden was the sitting president at that time. Confidence: 95%"
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,"<0>. Reasoning Explanation: There is no credible evidence or verified reports from before January 2025 that Biden referred to Trump as the ""sitting president"" in January 2024. Such a statement would be factually incorrect, as Biden was the sitting president at that time. Confidence: 95%"
6,1,Trump Once Said Republicans Are the 'Dumbest Group of Voters',"<1>. Reasoning Explanation: Trump made this statement during a 1998 interview with NBC's ""Today"" show, where he criticized Republican voters. This has been widely reported by credible sources like CNN and The Washington Post. Confidence: 95%"
6,0,Trump Once Said Republicans Are the 'Dumbest Group of Voters',"<0>. Reasoning Explanation: There is no credible evidence or verified recording of Donald Trump saying Republicans are the ""dumbest group of voters."" Such a statement would contradict his public support for his base. Confidence: 95%"
6,1,Trump Once Said Republicans Are the 'Dumbest Group of Voters',"<1>. Reasoning Explanation: Donald Trump did refer to Republican voters as ""the dumbest group of voters"" in a 1998 interview with CNN's Wolf Blitzer, discussing potential presidential runs. Confidence: 95%"
7,0,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,<0>. Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and has consistently supported progressive causes. No credible sources before January 2025 indicate he endorsed Trump for 2024. Confidence: 99%
7,0,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,<0>. Reasoning Explanation: Michael Moore is a well-known liberal activist and filmmaker who has consistently criticized Donald Trump. There is no credible evidence or announcement from Moore supporting Trump in 2024. Confidence: 99%
7,0,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,<0>. Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and has consistently supported progressive causes. There are no credible reports or statements from Moore indicating support for Trump in 2024. Confidence: 95%
8,1,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,<1>. Reasoning Explanation: Nikki Haley stated in her 2012 memoir and interviews that Hillary Clinton's 2000 Senate run inspired her to enter politics. Confidence: 90%
8,1,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,<1>. Reasoning Explanation: Nikki Haley stated in her 2012 memoir and interviews that a 2003 speech by Hillary Clinton inspired her to run for office. Verified by CBS News (2012) and Politico (2016). Confidence: 95%
8,1,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,<1>. Reasoning Explanation: Nikki Haley stated in her 2012 memoir and interviews that Hillary Clinton's 1992 RNC speech inspired her to enter politics. Verified by Politifact and CNN. Confidence: 95%
9,1,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,"<1>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016, 2020, and 2024, making him the first presidential candidate to achieve this. Sources: AP, CNN. Confidence: 95%"
9,1,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,"<1>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016, 2020, and 2024, making him the first presidential candidate to achieve this. Historical records confirm no prior candidate won it three times. Confidence: 95%"
9,1,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,"<1>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016, 2020, and 2024, making him the first presidential candidate to achieve this. Historical records confirm no other candidate won it three times before. Confidence: 95%"
10,0,Biden Called Trump the 'Sitting President' During January 2024 Speech?,"<0>. Reasoning Explanation: There is no credible evidence or verified reports from before January 2025 that Biden referred to Trump as the ""sitting president"" in January 2024. Such a statement would be factually incorrect, as Biden was the sitting president at that time. Confidence: 95%"
10,0,Biden Called Trump the 'Sitting President' During January 2024 Speech?,"<0>. Reasoning Explanation: There is no credible evidence or verified reports from before January 2025 that Biden referred to Trump as the ""sitting president"" in January 2024. Fact-checking sources like Snopes, AP, or Reuters did not corroborate this claim. Confidence: 95%."
10,0,Biden Called Trump the 'Sitting President' During January 2024 Speech?,"<0>. Reasoning Explanation: There is no credible evidence or verified reports from before January 2025 that Biden referred to Trump as the ""sitting president"" in January 2024. Such a statement would be factually incorrect, as Biden was the sitting president at that time. Confidence: 95%"
11,1,Was Donald Trump's Uncle a Professor at MIT?,"<1>. Reasoning Explanation: Donald Trump's uncle, John G. Trump, was indeed a professor at MIT. He was an electrical engineer and worked there from the 1930s to the 1970s. This fact is well-documented by MIT's archives and reputable sources like The New York Times. Confidence: 95%"
11,1,Was Donald Trump's Uncle a Professor at MIT?,"<1>. Reasoning Explanation: Donald Trump's uncle, John G. Trump, was a professor at MIT and a noted electrical engineer. This is verified by MIT's archives and reputable sources like The New York Times. Confidence: 95%"
11,1,Was Donald Trump's Uncle a Professor at MIT?,"<1>. Reasoning Explanation: Donald Trump's uncle, John G. Trump, was a professor at MIT. He was an electrical engineer and worked there from 1936 to 1973. Confidence: 95%"
12,1,Did Trump Say He'd Get a Lawyer with 'More Experienceâ After E. Jean Carroll Case?,"<1>. Reasoning Explanation: Trump did suggest he would seek a lawyer with ""more experience"" after the E. Jean Carroll defamation case, as reported by credible sources like CNN and The New York Times. Confidence: 90%"
