"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Taylor Swift eine solche Flagge bei den Grammy Awards 2024 gehalten hat. Berichte darüber sind auf Satire- und Falschmeldungsseiten zu finden.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Taylor Swift eine solche Flagge bei den Grammy Awards 2024 gehalten hat. Berichte darüber sind auf Satire- und Falschmeldungsseiten zu finden."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Did Trump Really Say 'This Country Is Just So Pathetic'  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Trump diesen Satz gesagt hat. Überprüfungen durch Fact-Checking-Websites wie Snopes oder Politifact haben keine entsprechenden Aussagen gefunden.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Trump diesen Satz gesagt hat. Überprüfungen durch Fact-Checking-Websites wie Snopes oder Politifact haben keine entsprechenden Aussagen gefunden."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Did Biden Say He Met with Dead French President Francois Mitterrand  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Joe Biden hat nie behauptet, er habe sich mit dem verstorbenen französischen Präsidenten François Mitterrand getroffen. Mitterrand starb 1996, und es gibt keine glaubwürdigen Berichte, die eine solche Aussage von Biden belegen. Die Behauptung stammt aus einer Fehlinformation, die im Internet kursiert.","<0>. Grund: Joe Biden hat nie behauptet, er habe sich mit dem verstorbenen französischen Präsidenten François Mitterrand getroffen. Mitterrand starb 1996, und es gibt keine glaubwürdigen Berichte, die eine solche Aussage von Biden belegen. Die Behauptung stammt aus einer Fehlinformation, die im Internet kursiert."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Taylor Swift oder Travis Kelce gesagt haben, sie würden die USA verlassen, wenn Trump die Wahl 2024 gewinnt. Solche Aussagen wären in den Medien breit diskutiert worden.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Taylor Swift oder Travis Kelce gesagt haben, sie würden die USA verlassen, wenn Trump die Wahl 2024 gewinnt. Solche Aussagen wären in den Medien breit diskutiert worden."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","1.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<1>. Grund: Die Nachricht ist wahr. Laut Berichten von CNN und anderen glaubwürdigen Nachrichtenquellen haben tatsächlich über 60% der Wähler bei der republikanischen Vorwahl in Nevada am 6. Februar 2024 """"""""None of These Candidates"""""""" anstelle von Nikki Haley gewählt.","<1>. Grund: Die Nachricht ist wahr. Laut Berichten von CNN und anderen glaubwürdigen Nachrichtenquellen haben tatsächlich über 60% der Wähler bei der republikanischen Vorwahl in Nevada am 6. Februar 2024 """"""""None of These Candidates"""""""" anstelle von Nikki Haley gewählt."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Biden Called Trump the 'Sitting President' During January 2024 Speech  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Biden Trump während einer Rede im Januar 2024 als """"""""sitting President"""""""" bezeichnet hat. Solche Fehlinformationen sind oft in sozialen Medien zu finden, aber nicht in seriösen Nachrichtenquellen.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Biden Trump während einer Rede im Januar 2024 als """"""""sitting President"""""""" bezeichnet hat. Solche Fehlinformationen sind oft in sozialen Medien zu finden, aber nicht in seriösen Nachrichtenquellen."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","1.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<1>. Grund: Trump soll 1998 in einem Interview mit People Magazine gesagt haben, dass Republikaner die """"""""dümmste Gruppe von Wählern"""""""" seien. Dies wurde von verschiedenen glaubwürdigen Quellen, wie The Washington Post und Politico, bestätigt.","<1>. Grund: Trump soll 1998 in einem Interview mit People Magazine gesagt haben, dass Republikaner die """"""""dümmste Gruppe von Wählern"""""""" seien. Dies wurde von verschiedenen glaubwürdigen Quellen, wie The Washington Post und Politico, bestätigt."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Michael Moore seine Unterstützung für Trump bei der Wahl 2024 angekündigt hat. Moore ist bekannt für seine kritische Haltung gegenüber Trump.","<0>. Grund: Es gibt keine glaubwürdigen Quellen, die bestätigen, dass Michael Moore seine Unterstützung für Trump bei der Wahl 2024 angekündigt hat. Moore ist bekannt für seine kritische Haltung gegenüber Trump."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Nikki Haley hat nie gesagt, dass Hillary Clinton sie inspiriert hat, in die Politik zu gehen. Laut glaubwürdigen Quellen wie Politifact und Snopes gibt es keine Beweise für eine solche Aussage von Haley.","<0>. Grund: Nikki Haley hat nie gesagt, dass Hillary Clinton sie inspiriert hat, in die Politik zu gehen. Laut glaubwürdigen Quellen wie Politifact und Snopes gibt es keine Beweise für eine solche Aussage von Haley."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","0.0","Ich werde unten eine Nachrichtenmeldung bereitstellen.  Die Nachricht: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:  <0 oder 1>. Grund Erklärung.  Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Donald Trump gewann die New Hampshire Primary 2016 und 2020, aber nicht 2024. Franklin D. Roosevelt gewann sie 1932, 1936, und 1940. Quelle: Ballotpedia, New York Times.","<0>. Grund: Donald Trump gewann die New Hampshire Primary 2016 und 2020, aber nicht 2024. Franklin D. Roosevelt gewann sie 1932, 1936, und 1940. Quelle: Ballotpedia, New York Times."
