News_ID,Extracted_label,News,Raw_Response
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. No credible sources reported Taylor Swift holding a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards; such an event would have been widely covered and fact-checked, but no evidence exists. Confidence: 99%"
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. No credible sources, including major news outlets and fact-checking websites, have reported Taylor Swift holding a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards. Such an event would have been widely covered and verified if true. Confidence: 99%"
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. No credible sources reported Taylor Swift holding a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards; such an event would have been widely covered and fact-checked by reputable news outlets. Confidence: 99%"
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. There is no credible evidence or verified report from any reputable source indicating that Donald Trump ever said """"""""This country is just so pathetic."""""""" Confidence: 95%"
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. There is no credible evidence that Donald Trump said """"""""This country is just so pathetic."""""""" A thorough search of reputable news sources and fact-checking websites, such as Politifact and Snopes, does not reveal any instance of Trump making this statement. Confidence: 95%"
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. There is no credible evidence or verified source indicating that Donald Trump made the statement """"""""This country is just so pathetic."""""""" Multiple fact-checking websites and news archives have no record of such a quote. Confidence: 95%"
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the deceased French President Francois Mitterrand is false. Biden actually mentioned meeting with Mitterrand's successor, President Emmanuel Macron, during a speech. This was a verbal gaffe and not an assertion of meeting Mitterrand. Confidence: 99%."
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the deceased French President Francois Mitterrand is false; Biden actually referenced a conversation with the living French President Emmanuel Macron during a speech, as reported by fact-checking sources like Politifact and Reuters. Confidence: 99%"
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the deceased French President Francois Mitterrand is false. Biden actually mentioned meeting with French President Emmanuel Macron, not Mitterrand, who died in 1996. This was clarified by fact-checking sources like Reuters and Politifact. Confidence: 99%"
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,"0. There is no credible evidence or verified reports from sources like Reuters, AP, or official statements from Taylor Swift or Travis Kelce indicating they would leave the US if Trump wins the 2024 election. Confidence: 95%"
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,"0. There is no credible evidence or verified reports from sources like Reuters, AP, or official statements from Taylor Swift or Travis Kelce indicating they would leave the US if Trump wins the 2024 election. Confidence: 95%"
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,"0. There is no credible evidence or verified reports from sources like Reuters, AP, or official statements from Taylor Swift or Travis Kelce indicating they would leave the US if Trump wins the 2024 election. Confidence: 95%"
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"1. The news is true as reported by multiple credible sources, including The Associated Press and CNN, which confirmed that over 60% of Nevada primary voters selected 'None of These Candidates' in the Republican primary where Nikki Haley was the only major candidate listed. Confidence: 95%"
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"1. The news is true as reported by credible sources such as The Associated Press and CNN, which confirmed that over 60% of Nevada primary voters selected 'None of These Candidates' in the Republican primary, surpassing the votes for Nikki Haley. Confidence: 95%"
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"1. The news is true as reported by multiple credible sources, including the Associated Press and CNN, which confirmed that over 60% of Nevada primary voters selected 'None of These Candidates' in the Republican primary where Nikki Haley was the only major candidate listed. Confidence: 95%"
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,0. There is no credible evidence or news reports from before January 2025 indicating that President Biden referred to Donald Trump as the 'sitting president' during a speech in January 2024. Such a statement would be highly unusual and would have been widely reported if it occurred. Confidence: 95%
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,0. There is no credible evidence or news report from before January 2025 indicating that Joe Biden referred to Donald Trump as the 'sitting president' during a speech in January 2024. Confidence: 95%
5,0,Biden Called Trump the 'Sitting President' During January 2024 Speech,"0. There is no credible evidence or news report from January 2024 indicating that Joe Biden referred to Donald Trump as the 'sitting president' during any speech. A thorough search of reputable news sources and fact-checking websites, such as Reuters and FactCheck.org, did not yield any results supporting this claim. Confidence: 95%"
6,1,Trump Once Said Republicans Are the 'Dumbest Group of Voters',"1. Trump did say that Republicans are the 'dumbest group of voters' in a 1998 interview with People magazine, where he criticized the party's voter base. Confidence: 95%"
