News_ID,News
0,"""Une vidéo montre Taylor Swift tenant un drapeau 'Trump a gagné, les démocrates ont triché' aux Grammy Awards 2024"""
1,« Trump a-t-il vraiment dit 'Ce pays est tout simplement si pathétique' ? »
2,« Biden a-t-il dit qu'il avait rencontré le défunt président français François Mitterrand ? »
3,« Taylor Swift et Travis Kelce disent qu'ils quitteront les États-Unis si Trump gagne l'élection de 2024 »
4,"""Plus de 60 % des électeurs des primaires du Nevada ont choisi 'Aucun de ces candidats' plutôt que Nikki Haley (républicaine)"""
5,"""Biden a qualifié Trump de 'président en exercice' lors d'un discours en janvier 2024"""
6,« Trump a dit un jour que les républicains sont le 'groupe d'électeurs le plus stupide' »
7,"""Le cinéaste Michael Moore a-t-il annoncé qu'il soutenait Trump pour l'élection de 2024 ?"""
8,« Nikki Haley a-t-elle dit qu'Hillary Clinton l'a inspirée à entrer en politique ? »
9,"""Trump est-il le premier candidat présidentiel de l'histoire à remporter trois fois la primaire du New Hampshire ?"""
10,"""Biden a qualifié Trump de 'président en exercice' lors d'un discours en janvier 2024 ?"""
11,"""L'oncle de Donald Trump était-il professeur au MIT ?"""
12,« Trump a-t-il dit qu'il engagerait un avocat avec 'plus d'expérience' après l'affaire E. Jean Carroll ? »
13,« Biden a-t-il déjà dit qu'il ne voulait pas que ses enfants grandissent dans une 'jungle raciale' ? »
14,« Biden a-t-il déclaré en 2020 qu'il utiliserait le pouvoir militaire de manière 'responsable' et 'en dernier recours' ? »
15,« Biden a-t-il porté un casque à l'envers lors d'une séance photo avec des ouvriers du bâtiment ? »
16,"« Elon Musk a-t-il soutenu Biden, fait son coming out en tant que transgenre et est-il mort par suicide ? »"
17,« Les e-mails de la Maison-Blanche prouvent que Biden a 'caché les risques mortels du vaccin COVID au public' ? »
18,"""Un membre du personnel dit à Biden, perdu et confus, qu'il se trompe de chemin dans le Capitole ?"""
19,« Biden déclare qu'il était à Ground Zero le lendemain du 11 septembre »
20,"La stratégie de Biden est de ""faire entrer autant d'illégaux que possible dans le pays"" et de ""les légaliser pour créer une majorité permanente."""
