"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم توثيق أي فيديو كهذا، وتايلور سويفت معروفة بمواقفها المناهضة لترامب.","0. لم يتم توثيق أي فيديو كهذا، وتايلور سويفت معروفة بمواقفها المناهضة لترامب."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم العثور على دليل يؤكد أن ترامب قال هذه العبارة بالتحديد.","0. لم يتم العثور على دليل يؤكد أن ترامب قال هذه العبارة بالتحديد."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","بايدن لم يذكر لقاءه بالرئيس الفرنسي الراحل فرانسوا ميتران في أي من تصريحاته الرسمية.","0. بايدن لم يذكر لقاءه بالرئيس الفرنسي الراحل فرانسوا ميتران في أي من تصريحاته الرسمية."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم الإبلاغ عن مثل هذا التصريح من قبل تايلور سويفت أو ترافيس كيلسي في وسائل الإعلام الموثوقة.","0. لم يتم الإبلاغ عن مثل هذا التصريح من قبل تايلور سويفت أو ترافيس كيلسي في وسائل الإعلام الموثوقة."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم العثور على بيانات تؤكد هذا الرقم المحدد من الناخبين الذين اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""".","0. لم يتم العثور على بيانات تؤكد هذا الرقم المحدد من الناخبين الذين اختاروا """"""""لا أحد من هؤلاء المرشحين""""""""."
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","في يناير 2024، كان بايدن هو الرئيس الحالي، وليس ترامب.","0. في يناير 2024، كان بايدن هو الرئيس الحالي، وليس ترامب."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم توثيق هذا القول المنسوب لترامب بشكل موثوق.","0. لم يتم توثيق هذا القول المنسوب لترامب بشكل موثوق."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم الإعلان عن دعم مايكل مور لترامب في انتخابات 2024 حتى الآن.","0. لم يتم الإعلان عن دعم مايكل مور لترامب في انتخابات 2024 حتى الآن."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم تذكر نيكي هايلي أن هيلاري كلينتون ألهمتها لدخول السياسة في تصريحاتها العلنية.","0. لم تذكر نيكي هايلي أن هيلاري كلينتون ألهمتها لدخول السياسة في تصريحاتها العلنية."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","دونالد ترامب فاز بالانتخابات التمهيدية في نيو هامبشاير مرتين، وليس ثلاث مرات.","0. دونالد ترامب فاز بالانتخابات التمهيدية في نيو هامبشاير مرتين، وليس ثلاث مرات."
