"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الخبر خاطئ. الفيديو مُعدّل رقميًا. المقطع الأصلي يُظهرها وهي تحمل علم فخر للمثليين في حفل موسيقي، وليس في حفل جرامي. أكدت وكالات مثل رويترز وأسوشيتد برس أن الفيديو المتداول مزيف.","0. هذا الخبر خاطئ. الفيديو مُعدّل رقميًا. المقطع الأصلي يُظهرها وهي تحمل علم فخر للمثليين في حفل موسيقي، وليس في حفل جرامي. أكدت وكالات مثل رويترز وأسوشيتد برس أن الفيديو المتداول مزيف."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح. نشر دونالد ترامب هذا التعليق على منصته """"""""تروث سوشل"""""""" في 30 مايو 2024. جاء ذلك كرد فعل على إدانته في قضيته الجنائية بنيويورك، وهو ما أكدته وكالات أنباء متعددة مثل رويترز ووكالة أسوشيتد برس.","1. صحيح. نشر دونالد ترامب هذا التعليق على منصته """"""""تروث سوشل"""""""" في 30 مايو 2024. جاء ذلك كرد فعل على إدانته في قضيته الجنائية بنيويورك، وهو ما أكدته وكالات أنباء متعددة مثل رويترز ووكالة أسوشيتد برس."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح. في فبراير 2024، أخطأ الرئيس بايدن مرتين فخلط بين الرئيس الفرنسي الحالي إيمانويل ماكرون وسلفه الراحل فرانسوا ميتران (توفي عام 1996)، وذلك عند حديثه عن اجتماع سابق لمجموعة السبع. تم توثيق هذه الزلة في وسائل الإعلام الكبرى.","1. صحيح. في فبراير 2024، أخطأ الرئيس بايدن مرتين فخلط بين الرئيس الفرنسي الحالي إيمانويل ماكرون وسلفه الراحل فرانسوا ميتران (توفي عام 1996)، وذلك عند حديثه عن اجتماع سابق لمجموعة السبع. تم توثيق هذه الزلة في وسائل الإعلام الكبرى."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. الخبر خاطئ. لم يصدر أي تصريح من سويفت أو كيلسي بهذا الشأن. هذا الادعاء نشأ من موقع إخباري ساخر، وقد أكدت وكالات أنباء موثوقة مثل رويترز ووكالة أسوشيتد برس أنه ملفق.","<0>. الخبر خاطئ. لم يصدر أي تصريح من سويفت أو كيلسي بهذا الشأن. هذا الادعاء نشأ من موقع إخباري ساخر، وقد أكدت وكالات أنباء موثوقة مثل رويترز ووكالة أسوشيتد برس أنه ملفق."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. صحيح. أظهرت نتائج الانتخابات التمهيدية للحزب الجمهوري في نيفادا أن خيار """"""""لا أحد من هؤلاء المرشحين"""""""" حصل على أكثر من 60% من الأصوات، متغلبًا بشكل كبير على نيكي هيلي التي كانت المرشحة الرئيسية الوحيدة على ورقة الاقتراع.","<1>. صحيح. أظهرت نتائج الانتخابات التمهيدية للحزب الجمهوري في نيفادا أن خيار """"""""لا أحد من هؤلاء المرشحين"""""""" حصل على أكثر من 60% من الأصوات، متغلبًا بشكل كبير على نيكي هيلي التي كانت المرشحة الرئيسية الوحيدة على ورقة الاقتراع."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح. في خطاب ألقاه في 8 يناير 2024، أشار بايدن عن طريق الخطأ إلى ترامب بـ """"""""الرئيس الحالي"""""""". كانت زلة لسان واضحة، وفقًا لمصادر موثوقة مثل رويترز وأسوشيتد برس، وسرعان ما صحح نفسه.","1. صحيح. في خطاب ألقاه في 8 يناير 2024، أشار بايدن عن طريق الخطأ إلى ترامب بـ """"""""الرئيس الحالي"""""""". كانت زلة لسان واضحة، وفقًا لمصادر موثوقة مثل رويترز وأسوشيتد برس، وسرعان ما صحح نفسه."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الادعاء خاطئ. لا يوجد أي دليل موثوق على أن ترامب أدلى بهذا التصريح. وقد تم تداول هذه المقولة كجزء من صورة مفبركة على الإنترنت منذ عام 2015، وتم تفنيدها من قبل وكالات التحقق من الحقائق مثل Snopes و PolitiFact.","0. هذا الادعاء خاطئ. لا يوجد أي دليل موثوق على أن ترامب أدلى بهذا التصريح. وقد تم تداول هذه المقولة كجزء من صورة مفبركة على الإنترنت منذ عام 2015، وتم تفنيدها من قبل وكالات التحقق من الحقائق مثل Snopes و PolitiFact."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الادعاء خاطئ. لم يعلن مايكل مور دعمه لترامب؛ بل هو من أشد منتقديه. تنشأ هذه الشائعة من تحريف تحذيراته بأن ترامب قد يفوز في الانتخابات، وليس من تأييده له. وقد فندت وكالات تدقيق الحقائق مثل أسوشيتد برس ورويترز هذا الخبر.","0. هذا الادعاء خاطئ. لم يعلن مايكل مور دعمه لترامب؛ بل هو من أشد منتقديه. تنشأ هذه الشائعة من تحريف تحذيراته بأن ترامب قد يفوز في الانتخابات، وليس من تأييده له. وقد فندت وكالات تدقيق الحقائق مثل أسوشيتد برس ورويترز هذا الخبر."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","1>. نعم، ذكرت هيلي في مذكراتها أن خطابًا لهيلاري كلينتون حول ضرورة مشاركة المرأة في الحياة العامة كان """"""""السبب"""""""" الذي دفعها لدخول السياسة. لكنها أوضحت أن الإلهام جاء من الرسالة نفسها، وليس من إعجابها بسياسات كلينتون التي طالما عارضتها.","1>. نعم، ذكرت هيلي في مذكراتها أن خطابًا لهيلاري كلينتون حول ضرورة مشاركة المرأة في الحياة العامة كان """"""""السبب"""""""" الذي دفعها لدخول السياسة. لكنها أوضحت أن الإلهام جاء من الرسالة نفسها، وليس من إعجابها بسياسات كلينتون التي طالما عارضتها."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. البيان خاطئ. ريتشارد نيكسون فاز أيضًا بالانتخابات التمهيدية في نيوهامبشر ثلاث مرات (1960، 1968، 1972)، مما يجعل ترامب ثاني مرشح يحقق هذا الإنجاز، وليس الأول.","<0>. البيان خاطئ. ريتشارد نيكسون فاز أيضًا بالانتخابات التمهيدية في نيوهامبشر ثلاث مرات (1960، 1968، 1972)، مما يجعل ترامب ثاني مرشح يحقق هذا الإنجاز، وليس الأول."
