"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الفيديو مزيف وتم التلاعب به رقمياً. لم تحمل تايلور سويفت أي لافتات سياسية في حفل غرامي 2024.","0. الفيديو مزيف وتم التلاعب به رقمياً. لم تحمل تايلور سويفت أي لافتات سياسية في حفل غرامي 2024."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، ترامب قال هذه العبارة في مقابلة مع فوكس نيوز عام 2015 عندما كان يتحدث عن اتفاقية إيران النووية.","1. نعم، ترامب قال هذه العبارة في مقابلة مع فوكس نيوز عام 2015 عندما كان يتحدث عن اتفاقية إيران النووية."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","بايدن بالفعل ذكر خطأً أنه التقى ميتران في 2021 رغم وفاته عام 1996، وهذا موثق في خطاب له في لاس فيغاس.","1. بايدن بالفعل ذكر خطأً أنه التقى ميتران في 2021 رغم وفاته عام 1996، وهذا موثق في خطاب له في لاس فيغاس."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا خبر كاذب لم يصرح به أي من الطرفين، وتم تداوله كشائعة على مواقع التواصل الاجتماعي.","0. هذا خبر كاذب لم يصرح به أي من الطرفين، وتم تداوله كشائعة على مواقع التواصل الاجتماعي."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح - في الانتخابات التمهيدية بنيفادا، صوت 63% لـ""""""""لا أحد من المرشحين"""""""" مقابل 30% لهيلي","1. صحيح - في الانتخابات التمهيدية بنيفادا، صوت 63% لـ""""""""لا أحد من المرشحين"""""""" مقابل 30% لهيلي"
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","بايدن بالفعل أشار إلى ترامب بـ""""""""الرئيس الجالس"""""""" خلال خطاب في 5 يناير 2024 في ولاية بنسلفانيا.","1. بايدن بالفعل أشار إلى ترامب بـ""""""""الرئيس الجالس"""""""" خلال خطاب في 5 يناير 2024 في ولاية بنسلفانيا."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الادعاء خاطئ ولم يثبت صحته. تم دحضه من قبل مواقع التحقق من الحقائق المعتبرة.","0. هذا الادعاء خاطئ ولم يثبت صحته. تم دحضه من قبل مواقع التحقق من الحقائق المعتبرة."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","مايكل مور لم يعلن دعمه لترامب، بل هو معارض له بشدة ويدعم بايدن في انتخابات 2024.","0. مايكل مور لم يعلن دعمه لترامب، بل هو معارض له بشدة ويدعم بايدن في انتخابات 2024."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، صرحت نيكي هيلي في عام 2012 أن هيلاري كلينتون كانت مصدر إلهام لها لدخول عالم السياسة.","1. نعم، صرحت نيكي هيلي في عام 2012 أن هيلاري كلينتون كانت مصدر إلهام لها لدخول عالم السياسة."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، ترامب هو أول مرشح رئاسي يفوز بالانتخابات التمهيدية في نيوهامبشير 3 مرات (2016، 2020، 2024)","1. نعم، ترامب هو أول مرشح رئاسي يفوز بالانتخابات التمهيدية في نيوهامبشير 3 مرات (2016، 2020، 2024)"
