News_ID,Ground_Truth,democrat,Republican,Neutral,TPN_GR_GR_implicit_Neu,TPN_FR_FR_implicit_Neu,TPN_CH_CH_implicit_Neu,TPN_AR_AR_implicit_Neu
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
2,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0
6,0,0,1,1,0,0,0,0
7,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,1,0
9,0,0,1,0,0,0,1,0
10,1,0,0,0,0,0,0,0
11,1,1,1,1,0,1,0,0
12,0,0,0,0,1,1,0,0
13,1,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1
15,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,1
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1
24,0,1,0,0,1,1,0,0
25,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0
28,1,0,0,0,1,1,0,1
29,1,0,0,0,1,1,0,1
30,1,1,1,1,1,1,1,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,1,0,0,0
33,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0
35,0,0,0,0,1,0,1,0
36,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0
39,0,1,0,1,1,1,1,1
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,1,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,1,1,1,1,1,1,1,1
50,1,0,0,0,0,0,0,0
51,1,0,0,1,1,0,1,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0
60,1,1,1,1,1,1,1,1
61,1,0,1,1,0,0,0,0
62,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
64,0,0,0,0,1,0,0,0
65,0,0,0,0,0,0,0,0
66,0,1,1,1,0,1,0,1
67,1,0,0,0,0,0,0,0
68,0,0,1,0,0,0,0,0
69,1,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0
71,1,1,1,1,1,1,1,0
72,1,0,1,0,0,0,0,1
73,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1
75,1,1,0,0,0,0,1,0
76,1,1,1,1,1,1,1,e
77,1,0,0,0,0,0,0,1
78,1,0,1,0,0,0,0,0
79,1,1,1,1,1,1,1,1
80,1,1,1,1,1,0,0,0
81,1,1,1,1,1,1,1,1
82,1,0,0,0,0,0,0,0
