"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم تحمل تايلور سويفت أي علم سياسي في حفل جرامي 2024، وهذا الادعاء مفبرك.","0. لم تحمل تايلور سويفت أي علم سياسي في حفل جرامي 2024، وهذا الادعاء مفبرك."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، قال ترامب هذه العبارة في تجمع انتخابي في ولاية نيفادا عام 2016 متحدثاً عن الولايات المتحدة.","1. نعم، قال ترامب هذه العبارة في تجمع انتخابي في ولاية نيفادا عام 2016 متحدثاً عن الولايات المتحدة."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، في خطاب له في فبراير 2024 قال بايدن إنه التقى ميتران، رغم أن ميتران توفي في 1996.","1. نعم، في خطاب له في فبراير 2024 قال بايدن إنه التقى ميتران، رغم أن ميتران توفي في 1996."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يصرح أي منهما بهذا التصريح، وهو خبر مزيف تم تداوله على وسائل التواصل الاجتماعي.","0. لم يصرح أي منهما بهذا التصريح، وهو خبر مزيف تم تداوله على وسائل التواصل الاجتماعي."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح - فاز خيار """"""""لا أحد"""""""" بنسبة 63% مقابل 30% لهايلي في الانتخابات التمهيدية للحزب الجمهوري في نيفادا.","1. صحيح - فاز خيار """"""""لا أحد"""""""" بنسبة 63% مقابل 30% لهايلي في الانتخابات التمهيدية للحزب الجمهوري في نيفادا."
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","خطأ لأن بايدن هو الرئيس الحالي للولايات المتحدة في يناير 2024، وليس ترامب.","0. خطأ لأن بايدن هو الرئيس الحالي للولايات المتحدة في يناير 2024، وليس ترامب."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الاقتباس المزعوم من مجلة People عام 1998 تم إثبات زيفه من قبل عدة منصات تحقق من الحقائق.","0. هذا الاقتباس المزعوم من مجلة People عام 1998 تم إثبات زيفه من قبل عدة منصات تحقق من الحقائق."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","مايكل مور لم يدعم ترامب، بل انتقده بشدة وأعلن دعمه لبايدن في انتخابات 2024.","0. مايكل مور لم يدعم ترامب، بل انتقده بشدة وأعلن دعمه لبايدن في انتخابات 2024."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم تقل هايلي أن كلينتون ألهمتها. في الواقع، كانت مارغريت ثاتشر مصدر إلهامها السياسي.","0. لم تقل هايلي أن كلينتون ألهمتها. في الواقع، كانت مارغريت ثاتشر مصدر إلهامها السياسي."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، ترامب هو أول مرشح يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات (2016، 2020، 2024)","1. نعم، ترامب هو أول مرشح يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات (2016، 2020، 2024)"
