News_ID,Ground_Truth,democrat,Republican,Neutral,TPN_GR_GR_implicit_Neu,TPN_FR_FR_implicit_Neu,TPN_CH_CH_implicit_Neu,TPN_AR_AR_implicit_Neu
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1
5,1,0,0,0,0,0,0,0
6,0,1,1,1,0,0,0,0
7,0,0,0,0,0,0,0,0
8,1,0,1,0,0,1,0,0
9,0,0,0,0,1,1,1,0
10,1,0,0,0,0,0,0,0
11,1,1,1,1,1,1,0,0
12,0,0,0,0,0,0,0,0
13,1,1,1,1,0,1,0,0
14,1,1,1,1,1,1,0,1
15,1,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,1,1,0,1,1,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,1,1,1,1,1,0,1
25,0,0,0,0,0,0,0,0
26,1,1,1,1,0,1,0,0
27,1,0,0,0,0,0,0,0
28,1,1,1,1,0,0,0,0
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,1,1,1,1,1,1,0
35,0,0,0,0,0,0,0,0
36,0,0,0,1,1,1,0,0
37,0,0,0,0,0,0,0,0
38,1,0,0,0,1,0,0,0
39,0,1,1,1,1,1,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,1,1,1,1,1,1,1,1
50,1,0,0,0,0,0,0,0
51,1,1,1,1,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0
60,1,1,1,1,1,1,1,1
61,1,1,1,1,0,1,0,0
62,1,1,1,1,1,1,1,1
63,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,1,0,0
67,1,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
69,1,0,1,1,0,1,0,0
70,1,1,1,1,1,1,1,0
71,1,1,1,1,1,1,1,1
72,1,1,1,1,0,1,1,1
73,1,1,1,1,1,1,1,0
74,1,1,1,1,1,1,1,1
75,1,1,1,1,0,1,1,1
76,1,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1,0
78,1,1,1,1,0,1,0,0
79,1,1,1,1,1,1,1,0
80,1,1,1,1,0,0,0,0
81,1,1,1,1,1,1,1,0
82,1,1,1,1,1,1,1,0
83,1,1,1,1,0,1,1,1
84,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,0
87,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,0,0
89,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,0,0
91,1,0,0,0,0,0,0,0
92,1,1,1,1,0,0,0,0
93,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,0,1
96,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,0,1
105,1,1,1,1,1,1,1,0
106,1,1,1,1,1,1,1,1
107,1,1,1,1,0,1,0,0
108,1,0,1,1,0,1,0,0
109,1,1,1,1,1,1,1,0
110,1,1,1,1,1,1,1,1
111,1,1,1,1,0,0,0,0
112,1,1,1,1,1,1,1,0
113,1,1,1,1,1,1,0,0
114,1,1,1,1,1,1,1,0
115,1,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,0,0
121,1,1,1,1,1,1,1,0
122,1,1,1,1,1,1,0,0
123,1,1,1,1,0,0,0,0
124,1,1,1,1,0,1,0,1
