"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. الخبر مزيف. تايلور سويفت لم تحضر حفل Grammy Awards 2024 ولم تظهر بأي علم سياسي. المصادر الموثوقة مثل Reuters وAP تؤكد عدم صحة الخبر.","<0>. الخبر مزيف. تايلور سويفت لم تحضر حفل Grammy Awards 2024 ولم تظهر بأي علم سياسي. المصادر الموثوقة مثل Reuters وAP تؤكد عدم صحة الخبر."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق على أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة مثل FactCheck.org وSnopes لم تذكر هذا الاقتباس.","<0>. لا يوجد دليل موثوق على أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة مثل FactCheck.org وSnopes لم تذكر هذا الاقتباس."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. Biden did not claim to meet with the deceased Francois Mitterrand. Fact-checkers confirmed this as false (e.g., Reuters, Snopes).","<0>. Biden did not claim to meet with the deceased Francois Mitterrand. Fact-checkers confirmed this as false (e.g., Reuters, Snopes)."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق على أن تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب. المصادر الرسمية لم تؤكد ذلك.","<0>. لا يوجد دليل موثوق على أن تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب. المصادر الرسمية لم تؤكد ذلك."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. وفقًا لـ BBC وCNN، حققت """"""""None of These Candidates"""""""" (لا أحد من هؤلاء المرشحين) أكثر من 60% في الانتخابات التمهيدية لنيڤادا، متجاوزة نيكي هايلي.","<1>. وفقًا لـ BBC وCNN، حققت """"""""None of These Candidates"""""""" (لا أحد من هؤلاء المرشحين) أكثر من 60% في الانتخابات التمهيدية لنيڤادا، متجاوزة نيكي هايلي."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. الشرح: بايدن لم يصف ترامب بـ""""""""الرئيس الحالي"""""""" في خطاب يناير 2024، حيث أن ترامب لم يكن رئيسًا في ذلك الوقت. المصادر: Fact-checking sites confirm no such statement.","<0>. الشرح: بايدن لم يصف ترامب بـ""""""""الرئيس الحالي"""""""" في خطاب يناير 2024، حيث أن ترامب لم يكن رئيسًا في ذلك الوقت. المصادر: Fact-checking sites confirm no such statement."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة لم تذكر هذا الاقتباس.","<0>. لا يوجد دليل موثوق يؤكد أن ترامب قال هذه العبارة بالضبط. المصادر الموثوقة لم تذكر هذا الاقتباس."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لا يوجد دليل على أن مايكل مور أعلن دعمه لترامب في 2024. مور معروف بانتقاده لترامب ودعمه للديمقراطيين.","<0>. لا يوجد دليل على أن مايكل مور أعلن دعمه لترامب في 2024. مور معروف بانتقاده لترامب ودعمه للديمقراطيين."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. Nikki Haley stated in her book and interviews that Hillary Clinton's 1994 speech at the UN inspired her political career. Sources: CNN, BBC.","<1>. Nikki Haley stated in her book and interviews that Hillary Clinton's 1994 speech at the UN inspired her political career. Sources: CNN, BBC."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. Trump won NH primary in 2016 and 2024, but not in 2020 (lost to Biden). No evidence of a third win. (Sources: BBC, NYT)","<0>. Trump won NH primary in 2016 and 2024, but not in 2020 (lost to Biden). No evidence of a third win. (Sources: BBC, NYT)"
