News_ID,Ground_Truth,democrat,Republican,Neutral,TP_GR_En_implicit_Neu,TP_FR_En_implicit_Neu,TP_CH_En_implicit_Neu,TP_Ar_En_implicit_Neu
0,0,0,0,0,0,0,0,0
1,1,e,0,0,1,1,0,1
2,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,1,1,1,0,e,1,1,1
5,1,0,e,0,e,e,0,1
6,0,0,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0
9,0,1,1,0,1,1,1,1
10,1,0,0,0,e,0,0,0
11,1,0,1,0,0,0,1,0
12,0,0,1,1,1,1,1,1
13,1,0,1,0,1,0,0,1
14,1,1,1,1,1,1,1,1
15,1,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,1,1,1,1,1,1,1
19,0,1,1,1,1,0,1,1
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,1,0,0,0,1,0,1
23,0,0,0,0,0,0,0,0
24,0,0,1,1,0,0,1,1
25,0,0,e,0,e,0,0,0
26,1,e,1,e,e,1,1,1
27,1,0,0,0,e,1,0,1
28,1,0,0,0,e,0,0,0
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,e,1,1,1
37,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0
39,0,1,1,1,1,1,1,1
40,0,0,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,e,1,0,1,0,0,1
44,0,0,0,0,0,0,0,0
45,0,e,1,1,1,1,1,1
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0
49,1,1,1,1,1,1,1,1
50,1,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,1
59,1,0,0,0,0,0,0,0
60,1,1,1,1,1,1,1,1
61,1,1,e,1,1,1,1,1
62,1,1,1,0,0,0,1,0
63,0,0,0,0,0,0,0,0
64,0,0,1,0,1,1,1,1
65,0,0,0,0,0,0,0,0
66,0,0,1,0,0,0,1,0
67,1,0,0,0,0,0,0,0
68,0,0,e,0,0,0,0,0
69,1,0,e,0,1,1,0,1
70,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1
72,1,e,1,0,1,0,0,0
73,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1
77,1,1,1,0,e,e,0,0
78,1,0,1,0,0,0,0,0
79,1,1,1,0,1,1,1,1
80,1,1,1,1,0,1,0,1
81,1,1,1,1,1,1,1,1
82,1,1,1,e,1,1,0,1
83,1,0,1,0,0,0,0,0
84,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1
88,1,0,1,0,0,0,0,0
89,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1
91,1,0,0,0,0,1,0,0
92,1,0,1,0,0,0,0,0
93,1,1,1,1,e,1,1,1
94,1,1,1,1,1,1,1,1
95,1,1,e,1,1,1,1,1
96,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1
103,1,0,1,1,0,0,1,0
104,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1
107,1,1,0,1,1,1,1,0
108,1,1,1,1,1,1,1,1
