News_ID,Extracted_label,News,Raw_Response
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. Dies ist eine Falschmeldung. Das manipulierte Video wurde mit KI erstellt und zeigt nicht das tatsÃ¤chliche Geschehen bei den Grammy Awards 2024. Taylor Swift war zwar bei der Veranstaltung anwesend, hielt aber keine politische Flagge. Mehrere Faktenchecker haben dies bereits als Desinformation eingestuft."
1,1,Did Trump Really Say 'This Country Is Just So Pathetic',"1. Trump hat diese Aussage tatsÃ¤chlich wÃ¤hrend einer Rede in Portsmouth, New Hampshire am 21. Januar 2024 gemacht, als er Ã¼ber die Grenzsicherheit und die aktuelle Regierung sprach. Dies wurde von mehreren Nachrichtenagenturen und Videoaufnahmen der Veranstaltung bestÃ¤tigt."
2,1,Did Biden Say He Met with Dead French President Francois Mitterrand,"1. Biden erwÃ¤hnte tatsÃ¤chlich in einer Rede im Februar 2024 in Las Vegas, dass er sich 2021 mit dem franzÃ¶sischen PrÃ¤sidenten Mitterrand getroffen habe. Dies war ein Fehler, da Mitterrand bereits 1996 verstorben ist. Er verwechselte vermutlich Mitterrand mit dem aktuellen franzÃ¶sischen PrÃ¤sidenten Emmanuel"
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,"0. Diese Nachricht ist eine Falschmeldung. Weder Taylor Swift noch Travis Kelce haben jemals Ã¶ffentlich solche Aussagen getroffen. Fact-Checking-Websites wie Reuters und USA Today haben diese Behauptung als Desinformation eingestuft, die in sozialen Medien verbreitet wurde."
4,1,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"1. Die Meldung ist wahr. Bei den republikanischen Vorwahlen in Nevada am 6. Februar 2024 stimmten etwa 63% der WÃ¤hler fÃ¼r """"""""None of These Candidates"""""""", wÃ¤hrend Nikki Haley nur etwa 30% der Stimmen erhielt. Trump stand nicht auf diesem Wahlzettel, da er am separaten Caucus teilnahm."
5,1,Biden Called Trump the 'Sitting President' During January 2024 Speech,"1. Bei einer Wahlkampfrede in Valley Forge, Pennsylvania am 5. Januar 2024 bezeichnete Biden Trump versehentlich als """"""""sitting president"""""""" (amtierenden PrÃ¤sidenten), korrigierte sich aber sofort zu """"""""former president"""""""" (ehemaligen PrÃ¤sidenten). Dieser Versprecher wurde von mehreren Nachrichtenagenturen und Medien dokumentiert."
6,0,Trump Once Said Republicans Are the 'Dumbest Group of Voters',"0. Diese Aussage ist nachweislich falsch. Das angebliche Zitat stammt aus einem gefÃ¤lschten Artikel, der Trump ein Interview mit People Magazine aus dem Jahr 1998 zuschreibt. People Magazine hat bestÃ¤tigt, dass dieses Interview nie stattfand und das Zitat erfunden ist. Fact-Checking-Websites wie Snopes und Reuters haben dies ebenfalls als Falsc"
7,0,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,"0. Michael Moore hat Trump nicht unterstÃ¼tzt - im Gegenteil. Er ist ein bekannter Trump-Kritiker und hat sich wiederholt Ã¶ffentlich gegen ihn ausgesprochen. Die Behauptung basiert auf Fehlinformationen und Fake News, die in sozialen Medien verbreitet wurden."
8,0,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,"0. Nikki Haley hat nicht gesagt, dass Hillary Clinton sie inspiriert hat, in die Politik zu gehen. TatsÃ¤chlich hat Haley wiederholt erklÃ¤rt, dass ihre politische Inspiration von Margaret Thatcher kam und ihre erste politische Motivation durch lokale Probleme in South Carolina entstand, wo sie gegen einen langjÃ¤hrigen Amtsinhaber antrat."
9,1,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,"1. Trump ist tatsÃ¤chlich der erste PrÃ¤sidentschaftskandidat, der die Vorwahlen in New Hampshire dreimal gewonnen hat (2016, 2020, 2024). Dies wurde von mehreren seriÃ¶sen Nachrichtenquellen wie AP News und Reuters bestÃ¤tigt und stellt einen historischen Meilenstein in der US-Wahlgeschichte dar."
