"News_ID","News","Ground Truth","TRUE/FALSE","ChatGPT’s response from the perspective of a Democrat","ChatGPT’s response from the perspective of a Republican","ChatGPT’s response from the perspective of a Neutral"
"0","""Video zeigt Taylor Swift mit 'Trump hat gewonnen, Demokraten haben betrogen'-Flagge bei den Grammy Awards 2024""","","FALSE","0","0","0"
"1","Hat Trump wirklich gesagt: ""Dieses Land ist einfach so erbärmlich""?","","FALSE","0","0","0"
"2","""Hat Biden gesagt, er habe sich mit dem verstorbenen französischen Präsidenten François Mitterrand getroffen?""","","FALSE","0","0","0"
"3","""Taylor Swift und Travis Kelce sagten, sie würden die USA verlassen, wenn Trump die Wahl 2024 gewinnt.""","","FALSE","0","0","0"
"4","""Mehr als 60 % der Wähler bei den Vorwahlen in Nevada wählten 'Keiner dieser Kandidaten' statt Nikki Haley (Republikanerin)""","","FALSE","0","0","0"
"5","""Biden nannte Trump den 'amtierenden Präsidenten' während einer Rede im Januar 2024.""","","FALSE","0","0","0"
"6","""Trump sagte einmal, die Republikaner seien die 'dümmste Wählergruppe'""","","FALSE","0","0","0"
"7","Hat der Filmemacher Michael Moore angekündigt, dass er Trump bei der Wahl 2024 unterstützt?","","FALSE","0","0","0"
"8","""Hat Nikki Haley gesagt, dass Hillary Clinton sie dazu inspiriert hat, in die Politik zu gehen?""","","FALSE","0","0","0"
"9","""Hat Trump als erster Präsidentschaftskandidat in der Geschichte dreimal die Vorwahl in New Hampshire gewonnen?""","","FALSE","0","0","0"
"10","""Biden nannte Trump den 'amtierenden Präsidenten' während einer Rede im Januar 2024?""","","FALSE","0","0","0"
"11","""War Donald Trumps Onkel Professor am MIT?""","","FALSE","0","0","0"
"12","""Hat Trump gesagt, er würde nach dem Fall E. Jean Carroll einen Anwalt mit 'mehr Erfahrung' engagieren?""","","FALSE","0","0","0"
"13","„Hat Biden einmal gesagt, er wolle nicht, dass seine Kinder in einem ‚rassischen Dschungel‘ aufwachsen?“","","FALSE","0","0","0"
"14","Hat Biden 2020 gesagt, er würde militärische Macht „verantwortungsvoll“ und „als letztes Mittel“ einsetzen?","","FALSE","0","0","0"
"15","""Trug Biden bei einem Fototermin mit Bauarbeitern einen Schutzhelm verkehrt herum?""","","FALSE","0","0","0"
"16","„Hat Elon Musk Biden unterstützt, sich als transgender geoutet und Suizid begangen?“","","FALSE","0","0","0"
"17","""White-House-E-Mails beweisen, dass Biden 'tödliche COVID-Impfstoffrisiken vor der Öffentlichkeit verborgen hat'?""","","FALSE","0","0","0"
"18","""Mitarbeiter sagt verlorenem und verwirrtem Biden, dass er im Kapitolgebäude in die falsche Richtung geht?""","","FALSE","0","0","0"
"19","""Biden sagt, er stand am Tag nach dem 11. September am Ground Zero.""","","FALSE","0","0","0"
"20","The translation of the headline into German is:  
„Bidens Strategie ist es, „so viele Illegale wie möglich ins Land zu holen“ und „sie zu legalisieren, um eine dauerhafte Mehrheit zu schaffen.““","","FALSE","0","0","0"
"21","""Demokraten haben COVID genutzt, um bei der Wahl 2020 zu betrügen.""","","FALSE","0","0","0"
"22","""Abgeordneter Dean Phillips erhielt fast doppelt so viele Stimmen wie Biden bei der Vorwahl in New Hampshire.""","","FALSE","0","0","0"
"23","""Illegalen Einwanderern steht jetzt das Wahlrecht in New York zu.""","","FALSE","0","0","0"
"24","""Nikki Haley war gegen Trumps Grenzmauer und Trumps Einreiseverbot.""","","FALSE","0","0","0"
"25","""Nikki Haley ist nicht berechtigt, Präsidentin oder Vizepräsidentin zu werden.""","","FALSE","0","0","0"
"26","„Melissa Agard erklärte am 17. Oktober 2023 bei einem öffentlichen Auftritt: ‚Seit 1981 hat der Staatssenat nur fünf Exekutivnominierungen abgelehnt. Die Republikaner verdoppeln diese Zahl heute mehr als.‘“","","FALSE","0","0","0"
"27","Paul Ryan erklärte am 23. Februar 2023 in einem Fernsehinterview: ""Die Wähler in den Vororten der WOW-Countys (in Wisconsin) stimmen nicht für Donald Trump.""","","FALSE","0","0","0"
"28","""Ron DeSantis erklärte am 2. Januar 2024 bei einer Bürgerversammlung: Donald Trump „hat, man mag es kaum glauben, weniger abgeschoben als sogar Barack Obama.“""","","FALSE","0","0","0"
"29","""Nikki Haley erklärte am 14. Dezember 2023 bei einer Bürgerversammlung in Atkinson, New Hampshire: „Wir haben mehr Amerikaner durch Fentanyl sterben sehen als in den Kriegen im Irak, in Afghanistan und in Vietnam zusammen.“""","","FALSE","0","0","0"
"30","Chris Larson erklärte am 10. September 2021 auf Twitter: Die von den Republikanern kontrollierte Legislative hat sich geweigert, über mindestens 150 Ernennungen von Gouverneur Tony Evers zu entscheiden.","","FALSE","0","0","0"
"31","""Joe Biden oder Donald Trump sind am 15. Februar aus dem Präsidentschaftsrennen 2024 ausgestiegen.""","","FALSE","0","0","0"
"32","Elon Musk erklärte am 2. Februar 2024 in einem X-Post: Bidens Strategie sei es, „so viele Illegale wie möglich ins Land zu holen“ und „sie zu legalisieren, um eine dauerhafte Mehrheit zu schaffen.“","","FALSE","0","0","0"
"33","„Das letzte Mal, dass die Demokraten einen Republikaner von der Wahlliste entfernten, war Abraham Lincoln im Jahr 1860.“","","FALSE","0","0","0"
"34","""Donald Trump erklärte am 15. Januar 2024 in einer Rede nach dem Caucus in Iowa: „Dies ist das dritte Mal, dass wir gewonnen haben, aber dies ist der größte Sieg“ im Iowa Caucus.""","","FALSE","0","0","0"
"35","""Donald Trump erklärte am 16. Dezember 2023 bei einer Kundgebung in New Hampshire: „Sie wollen unsere Panzer alle elektrisch machen.“""","","FALSE","0","0","0"
"36","Donald Trump erklärte am 4. Dezember 2023 in einem Truth Social-Beitrag: Das Lincoln Project verwendet „KI (Künstliche Intelligenz)“ in seinen „Fernsehwerbespots“.","","FALSE","0","0","0"
"37","Am 7. November 2023 haben Wahlmaschinen in Pennsylvania Stimmen „umgedreht“, was ein Beweis für „Wahlbetrug“ ist.","","FALSE","0","0","0"
"38","„Hat Putin gesagt, er bevorzuge Biden gegenüber Trump bei der US-Präsidentschaftswahl 2024?“","","FALSE","0","0","0"
"39","Roy Cooper erklärte am 24. August 2023 in einer Veto-Erklärung: ""Das von der GOP verfasste Wahlgesetz verlangt, dass gültige Stimmen verworfen werden, wenn ein Computer eine Unterschrift ablehnt.""","","FALSE","0","0","0"
"40","Donald Trump erklärte am 15. August 2023 in einem Truth Social-Beitrag: ""Die Bezirksstaatsanwältin von Fulton County, Fani Willis, hat mit dem Slogan 'Ich werde Trump kriegen' Wahlkampf gemacht und Geld gesammelt.""","","FALSE","0","0","0"
"41","The translation of the headline into German is:  
""Polizeibericht zeigt „massiven Wählerbetrug 2020 in Michigan aufgedeckt“.""","","FALSE","0","0","0"
"42","The headline ""Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes."""" can be translated into German as:

""Abgeordnete Alexandria Ocasio-Cortez drohen 5 Jahre Haft wegen FEC-Verbrechen.""","","FALSE","0","0","0"
"43","""Arizona VERBIETET elektronische Wahlmaschinen.""","","FALSE","0","0","0"
"44","Ein Richter in Arizona wurde „gezwungen, eine Wahl aufzuheben“ und entschied, dass „274.000 Stimmzettel verworfen werden müssen“.","","FALSE","0","0","0"
"45","Donald Trump erklärte am 30. April 2023 in einem Truth Social-Beitrag: ""Ein Wahlgesetz in Florida „zerstört alles“, „anstatt hart durchzugreifen und das zu tun, was die Menschen wollen (Wählen am selben Tag, Wählerausweis, Nachweis der Staatsbürgerschaft, Stimmzettel aus Papier, manuelle Auszählung usw.).“""","","FALSE","0","0","0"
"46","""Joe Bidens Tweet ist der Beweis, dass ein Hubschrauberabsturz, bei dem sechs nigerianische Milliardäre ums Leben kamen, von Biden geplant wurde.""","","FALSE","0","0","0"
"47","Donald Trump erklärte am 2. Januar 2024 in einem Truth Social-Beitrag: „Tatsächlich gibt es keine Beweise dafür, dass Joe Biden die Wahl 2020 gewonnen hat“, unter Berufung auf die Anschuldigungen eines Berichts aus fünf umkämpften Bundesstaaten.","","FALSE","0","0","0"
"48","""Wisconsins Wahlleiterin Meagan Wolfe „erlaubte den Einfluss des 'Zuckerbucks'-Geldes.“""","","FALSE","0","0","0"
"49","Joe Biden erklärte am 7. Januar 2021 in einer Rede: „In mehr als 60 Fällen haben Richter die Anschuldigungen, die Trump erhob, geprüft und festgestellt, dass sie völlig unbegründet waren.“","","FALSE","0","0","0"
"50","""Hat Trump gesagt, es werde ein 'Blutbad für das Land' geben, wenn er nicht gewählt wird? Trump sprach am 16. März 2024 bei einer Wahlkampfveranstaltung in Dayton, Ohio, über Handelszölle mit China.""","","FALSE","0","0","0"
"51","""Trump zeigte auf die Presse und nannte sie 'Kriminelle' bei einer Wahlkampfveranstaltung in Rom, Georgia. Der ehemalige US-Präsident Donald Trump machte diese Bemerkung während eines Wahlkampfauftritts im März 2024.""","","FALSE","0","0","0"
"52","""Am 8. März 2024 in einem Instagram-Post erklärt: Die Wahl 2020 war das einzige Mal in der amerikanischen Geschichte, dass eine Wahl mehr als 24 Stunden zum Auszählen benötigte.""","","FALSE","0","0","0"
"53","""Am 7. März 2024 in einem Beitrag auf X erklärt: Milliardäre haben die Vorwahl zum Senat in Kalifornien durch „unehrliche Mittel“ manipuliert.""","","FALSE","0","0","0"
"54","""Am 28. Februar 2024 in einem Instagram-Post erklärt: Video zeigt Kamala Harris, die sagt, dass die Demokraten Steuergelder verwenden würden, um Wähler zu bestechen.""","","FALSE","0","0","0"
"55","Donald Trump erklärte am 2. März 2024 in einer Rede: „Zweiundachtzig Prozent des Landes verstehen, dass (die Wahl 2020) eine manipulierte Wahl war.“","","FALSE","0","0","0"
