News_ID,Extracted_label,News,Raw_Response
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. The claim that Taylor Swift held a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards is false. No credible news sources or official reports from the event confirm this incident. Taylor Swift has publicly supported Democratic candidates and has not endorsed such conspiracy theories, making the scenario highly unlikely."
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. The claim that Taylor Swift held a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards is false; no credible sources or official reports from the event corroborate this, and it contradicts Swift's known political stance and actions."
0,0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","0. The claim that Taylor Swift held a 'Trump Won, Democrats Cheated' flag at the 2024 Grammy Awards is false. No credible news sources or official Grammy coverage reported such an event, and fact-checking organizations like Snopes have debunked this claim, confirming it as misinformation."
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. The statement that Trump said 'This country is just so pathetic' is false according to fact-checking sources like Snopes and Politifact, which found no evidence of Trump making such a statement."
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. The claim that Trump said """"""""This country is just so pathetic"""""""" is false according to fact-checking sources like Snopes and Politifact, which found no evidence of Trump making such a statement."
1,0,Did Trump Really Say 'This Country Is Just So Pathetic',"0. The claim that Trump said """"""""This country is just so pathetic"""""""" is false according to fact-checking sources like Snopes and Politifact, which found no evidence of Trump making such a statement."
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the deceased French President Francois Mitterrand is false. Biden actually confused Mitterrand with French President Emmanuel Macron during a speech, as reported by multiple credible sources including CNN and Reuters."
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the late French President Francois Mitterrand is false. This stems from a misrepresentation of Biden's comments at a campaign event where he mentioned a conversation with French President Emmanuel Macron, not Mitterrand, who died in 1996. Fact-checkers like Reuters and PolitiFact have confirmed this."
2,0,Did Biden Say He Met with Dead French President Francois Mitterrand,"0. The claim that Biden said he met with the deceased French President Francois Mitterrand is false. Biden actually mentioned a conversation with French President Emmanuel Macron at the G7 summit, not Mitterrand, who died in 1996. This was clarified by fact-checking sources like Reuters and PolitiFact."
3,0,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,0. There is no credible evidence or reputable news source confirming that Taylor Swift and Travis Kelce stated they would leave the US if Trump wins the 2024 election; this appears to be a baseless rumor.
