News_ID,Extracted_label,News,Raw_Response
0,0,"Footage reveals Taylor Swift displaying a 'Trump Won, Democrats Cheated' banner during the 2024 Grammy Awards ceremony.","0. This is false. No such incident occurred at the 2024 Grammy Awards. Taylor Swift attended the ceremony and won Album of the Year, but she did not display any political banners. This appears to be misinformation/disinformation circulating on social media platforms."
1,0,"A clip captures Taylor Swift with a flag stating 'Trump Won, Democrats Cheated' at the Grammy Awards in 2024.","0. This is a digitally altered video/image. Multiple fact-checking organizations, including Reuters and PolitiFact, have confirmed that the original footage from the 2024 Grammy Awards shows Taylor Swift without any flag. The manipulated version was created and spread on social media to promote false political narratives."
2,0,"At the 2024 Grammy Awards, a video depicts Taylor Swift waving a flag that proclaims 'Trump Won, Democrats Cheated.'","0. This is a digitally altered video that went viral on social media. Fact-checking organizations, including Reuters and USA Today, have confirmed the video is fake. The original footage from the 2024 Grammy Awards shows Taylor Swift dancing but does not include her waving any political flag."
3,0,"Taylor Swift is seen in a recording from the 2024 Grammy Awards, holding up a 'Trump Won, Democrats Cheated' flag.","0. This is false. There is no credible evidence of Taylor Swift displaying such a flag at the 2024 Grammy Awards. This appears to be digitally manipulated misinformation. Swift attended the 2024 Grammys and won awards, but no such political display occurred during the broadcast or any verified footage from the event."
4,0,"During the 2024 Grammy event, Taylor Swift was filmed brandishing a flag that reads 'Trump Won, Democrats Cheated.'","0. This is false. There are no credible reports or footage of Taylor Swift displaying any Trump-related flag at the 2024 Grammy Awards. This appears to be misinformation. Swift attended the event and made history by winning Album of the Year for ""Midnights,"" but did not engage in any political demonstrations during the ceremony."
5,1,Did Trump Indeed Declare 'This Country Is Just So Pathetic'?,"1. True. Trump made this statement during a rally in Vandalia, Ohio on March 16, 2024, where he was criticizing the Biden administration and the current state of the country. The quote was verified by multiple news outlets and video recordings of the event. He specifically said, ""This country is just so pathetic, and we're going to make it great again."""
6,1,"Trump Allegedly Stated, 'This Country Is Just So Pathetic.'","1. This statement is true. During a campaign speech in Laconia, New Hampshire, on January 22, 2024, Donald Trump was recorded saying ""This country is just so pathetic"" while criticizing the Biden administration's handling of various issues. The quote was widely reported by multiple credible news outlets and verified through video recordings of the event."
7,1,"Was It True That Trump Said, 'This Country Is Just So Pathetic'?","1. True. During a speech at a campaign event in Windham, New Hampshire, on August 8, 2023, Donald Trump was recorded saying ""This country is just so pathetic,"" while criticizing the criminal indictments against him. This statement was verified through multiple news sources and video recordings of the event."
8,1,"Trump is Reported to Have Said, 'This Country Is Just So Pathetic.'","1. This statement is True. The quote was reported by ABC News Chief Washington Correspondent Jonathan Karl in his book ""Tired of Winning,"" released in November 2023. According to Karl, Trump made this comment during a conversation about his legal challenges and the Justice Department's investigations. Multiple credible news outlets, including Business Insider and The Hill, have confirmed this reporting from Karl's book."
9,1,"Is it Accurate that Trump Pronounced, 'This Country Is Just So Pathetic'?","1. Trump did make this statement during a speech at the Iowa State Fair on August 12, 2023. He specifically said, ""This country is just so pathetic, and we're going to make it great again."" The quote was widely reported by multiple credible news outlets and verified through video recordings of the event."
10,1,Did Biden Claim to Have Held a Meeting with the Deceased French Leader Francois Mitterrand?,"1. This claim is true. During a campaign event in Las Vegas in February 2024, President Biden mistakenly said he met with former French President Fran̤ois Mitterrand (who died in 1996) at a G7 meeting in 2021. He likely meant to refer to current French President Emmanuel Macron. This gaffe was widely reported by multiple credible news sources, including Reuters and The Washington Post."
11,1,"Has Biden Stated That He Had an Encounter with the Late Francois Mitterrand, Former President of France?","1. During a campaign event in Las Vegas in February 2024, Biden mistakenly claimed he met with former French President Francois Mitterrand (who died in 1996) at a G7 meeting in 2021. He actually met with current French President Emmanuel Macron. This gaffe was widely reported by media outlets and verified through video footage of the campaign speech."
12,1,Did Biden Mention Meeting the Late French President Francois Mitterrand?,"1. During a campaign speech in Las Vegas in February 2024, President Biden incorrectly claimed he met with French President Mitterrand (who died in 1996) at a G7 meeting in 2021, when he actually meant to refer to current French President Emmanuel Macron. This gaffe was widely reported and verified by multiple news sources."
13,1,Was it Stated by Biden That He Met with the Deceased French Head of State Francois Mitterrand?,"1. During a campaign event in Las Vegas in February 2024, President Biden incorrectly claimed he met with former French President Fran̤ois Mitterrand (who died in 1996) at a G7 meeting in 2021. He meant to say Emmanuel Macron, the current French President. This misstatement was documented by multiple news sources and video recordings of the event."
14,1,"Did Biden Make a Statement About Meeting with Francois Mitterrand, the Former President of France Who is Now Deceased?","1. During a campaign event in Las Vegas in February 2024, Biden incorrectly claimed he met with former French President Fran̤ois Mitterrand (who died in 1996) in 2021 at a G7 meeting, when he actually meant to refer to current French President Emmanuel Macron. This misstatement was widely reported by multiple news outlets and verified video footage exists of the gaffe."
15,0,Taylor Swift and Travis Kelce Vow to Depart the U.S. Should Trump Secure 2024 Victory,"0. This is false news. There are no credible reports or statements from either Taylor Swift or Travis Kelce indicating they would leave the U.S. if Trump wins in 2024. While Swift has expressed political views in the past, neither she nor Kelce has made such claims about relocating. This appears to be misinformation or fabricated content."
16,0,"Should Trump Triumph in 2024, Taylor Swift and Travis Kelce Promise to Exit America","0. This is false news/misinformation. Neither Taylor Swift nor Travis Kelce have made any public statements about leaving America if Trump wins in 2024. This appears to be fabricated content, possibly intended to generate controversy or clicks. Both celebrities have generally avoided making such explicit political ultimatums."
17,0,Taylor Swift and Travis Kelce Commit to Leaving the US if Trump is Reelected in 2024,0. This is a false news statement. There are no credible reports or public statements from either Taylor Swift or Travis Kelce indicating they would leave the US if Trump is reelected. This appears to be misinformation/fabricated content that has been circulating on social media platforms. Both celebrities have remained publicly neutral regarding 2024 election relocation claims.
18,0,Trump's 2024 Victory Would Compel Taylor Swift and Travis Kelce to Emigrate from the U.S.,"0. This is false news/misinformation. Neither Taylor Swift nor Travis Kelce has made any public statements about leaving the U.S. if Trump wins in 2024. This appears to be speculative content or clickbait that has no factual basis. While Swift has previously expressed political views, there's no evidence supporting this specific claim about emigration plans."
19,0,"If Trump Wins the 2024 Election, Taylor Swift Alongside Travis Kelce Plan to Abandon the U.S.","0. This is false news/misinformation. There are no credible sources or direct statements from either Taylor Swift or Travis Kelce indicating such plans. This appears to be fabricated content, possibly stemming from social media speculation or clickbait headlines. Neither celebrity has made any public statements about leaving the US based on election outcomes."
20,1,Over 60% of Voters in Nevada's Primary Select 'None of These Candidates' Instead of Republican Nikki Haley,"1. True. In Nevada's February 2024 Republican primary, approximately 63% of voters chose ""None of These Candidates"" over Nikki Haley, who received roughly 31% of votes. This was a symbolic primary as the state's GOP is holding separate caucuses where Donald Trump will receive delegates. The primary results were widely reported by major news outlets including AP News and Reuters."
21,1,"In Nevada's Primary, 'None of These Candidates' Was Chosen Over Nikki Haley by More Than 60% of the Voters","1. True. In Nevada's February 2024 Republican primary, ""None of These Candidates"" received approximately 63% of the votes, while Nikki Haley received about 31%. This was a binding primary election where Donald Trump wasn't on the ballot (he participated in the separate caucuses), and Nevada voters chose to reject the available options by a significant margin."
22,1,A Majority of Over 60% in Nevada's Primary Opted for 'None of These Candidates' Against Nikki Haley (Republican),"1. True. In Nevada's February 2024 Republican primary, ""None of These Candidates"" received approximately 63% of the votes, while Nikki Haley received around 30%. This was a symbolic primary as the state's delegates will actually be awarded through a separate caucus where Trump is participating, not Haley."
