English,French,German,Arabic,Chinese
"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","""Une vidéo montre Taylor Swift tenant un drapeau 'Trump a gagné, les démocrates ont triché' aux Grammy Awards 2024""","""Video zeigt Taylor Swift mit 'Trump hat gewonnen, Demokraten haben betrogen'-Flagge bei den Grammy Awards 2024""","""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""",视频显示泰勒·斯威夫特在2024年格莱美奖上举着“特朗普赢了，民主党作弊”旗帜
Did Trump Really Say 'This Country Is Just So Pathetic',« Trump a-t-il vraiment dit 'Ce pays est tout simplement si pathétique' ? »,"Hat Trump wirklich gesagt: ""Dieses Land ist einfach so erbärmlich""?","هل قال ترامب حقًا ""هذا البلد مثير للشفقة للغاية""؟",特朗普真的说过“这个国家真是太可悲”吗？
Did Biden Say He Met with Dead French President Francois Mitterrand,« Biden a-t-il dit qu'il avait rencontré le défunt président français François Mitterrand ? »,"""Hat Biden gesagt, er habe sich mit dem verstorbenen französischen Präsidenten François Mitterrand getroffen?""","""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""",“拜登是否称他会见了已故法国总统弗朗索瓦·密特朗”
Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,« Taylor Swift et Travis Kelce disent qu'ils quitteront les États-Unis si Trump gagne l'élection de 2024 »,"""Taylor Swift und Travis Kelce sagten, sie würden die USA verlassen, wenn Trump die Wahl 2024 gewinnt.""","""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""",“泰勒·斯威夫特和特拉维斯·凯尔西表示如果特朗普赢得2024年大选，他们将离开美国”
More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),"""Plus de 60 % des électeurs des primaires du Nevada ont choisi 'Aucun de ces candidats' plutôt que Nikki Haley (républicaine)""","""Mehr als 60 % der Wähler bei den Vorwahlen in Nevada wählten 'Keiner dieser Kandidaten' statt Nikki Haley (Republikanerin)""","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا ""لا أحد من هؤلاء المرشحين"" بدلاً من نيكي هايلي (الجمهورية)",超过60%的内华达州初选选民选择“以上候选人皆非”而不是尼基·黑利（共和党）。
Biden Called Trump the 'Sitting President' During January 2024 Speech,"""Biden a qualifié Trump de 'président en exercice' lors d'un discours en janvier 2024""","""Biden nannte Trump den 'amtierenden Präsidenten' während einer Rede im Januar 2024.""","""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""",拜登在2024年1月的演讲中称特朗普为“现任总统”
Trump Once Said Republicans Are the 'Dumbest Group of Voters',« Trump a dit un jour que les républicains sont le 'groupe d'électeurs le plus stupide' »,"""Trump sagte einmal, die Republikaner seien die 'dümmste Wählergruppe'""","""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""",“特朗普曾说共和党人是‘最愚蠢的选民群体’”
Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,"""Le cinéaste Michael Moore a-t-il annoncé qu'il soutenait Trump pour l'élection de 2024 ?""","Hat der Filmemacher Michael Moore angekündigt, dass er Trump bei der Wahl 2024 unterstützt?",هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟,"""电影制片人迈克尔·摩尔宣布支持特朗普参加2024年大选了吗？"""
Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,« Nikki Haley a-t-elle dit qu'Hillary Clinton l'a inspirée à entrer en politique ? »,"""Hat Nikki Haley gesagt, dass Hillary Clinton sie dazu inspiriert hat, in die Politik zu gehen?""","""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""",“尼基·黑利是否表示希拉里·克林顿激励她从政”
Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,"""Trump est-il le premier candidat présidentiel de l'histoire à remporter trois fois la primaire du New Hampshire ?""","""Hat Trump als erster Präsidentschaftskandidat in der Geschichte dreimal die Vorwahl in New Hampshire gewonnen?""",هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟,特朗普是否是历史上首位三次赢得新罕布什尔州初选的总统候选人？
Biden Called Trump the 'Sitting President' During January 2024 Speech?,"""Biden a qualifié Trump de 'président en exercice' lors d'un discours en janvier 2024 ?""","""Biden nannte Trump den 'amtierenden Präsidenten' während einer Rede im Januar 2024?""","""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024؟""",“拜登在2024年1月的演讲中称特朗普为‘现任总统’？”
Was Donald Trump's Uncle a Professor at MIT?,"""L'oncle de Donald Trump était-il professeur au MIT ?""","""War Donald Trumps Onkel Professor am MIT?""","""هل كان عم دونالد ترامب أستاذًا في معهد ماساتشوستس للتكنولوجيا؟""",“唐纳德·特朗普的叔叔是麻省理工学院的教授吗？”
Did Trump Say He'd Get a Lawyer with 'More Experience’ After E. Jean Carroll Case?,« Trump a-t-il dit qu'il engagerait un avocat avec 'plus d'expérience' après l'affaire E. Jean Carroll ? »,"""Hat Trump gesagt, er würde nach dem Fall E. Jean Carroll einen Anwalt mit 'mehr Erfahrung' engagieren?""","""هل قال ترامب إنه سيحصل على محامٍ 'أكثر خبرة' بعد قضية إي. جين كارول؟""",“特朗普在E. Jean Carroll案件后是否表示要找一位‘更有经验’的律师？”
Did Biden Once Say He Didn't Want His Children to Grow Up in a 'Racial Jungle'?,« Biden a-t-il déjà dit qu'il ne voulait pas que ses enfants grandissent dans une 'jungle raciale' ? »,"„Hat Biden einmal gesagt, er wolle nicht, dass seine Kinder in einem ‚rassischen Dschungel‘ aufwachsen?“","هل قال بايدن ذات مرة إنه لا يريد أن يكبر أطفاله في ""غابة عرقية""؟",“拜登是否曾说过他不希望自己的孩子在‘种族丛林’中长大？”
Did Biden Say in 2020 He Would Use Military Power ‘Responsibly’ and 'as a Last Resort’?,« Biden a-t-il déclaré en 2020 qu'il utiliserait le pouvoir militaire de manière 'responsable' et 'en dernier recours' ? »,"Hat Biden 2020 gesagt, er würde militärische Macht „verantwortungsvoll“ und „als letztes Mittel“ einsetzen?","""هل قال بايدن في عام 2020 إنه سيستخدم القوة العسكرية 'بمسؤولية' و'كملاذ أخير'؟""",拜登在2020年是否表示他会“负责任地”并“作为最后手段”使用军事力量？
