"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","صرحت ميليسا أغارد في ظهور علني بتاريخ 17 أكتوبر 2023: """"""""منذ عام 1981، رفض مجلس شيوخ الولاية خمسة تعيينات تنفيذية فقط. اليوم، الحزب الجمهوري يضاعف هذا العدد بأكثر من الضعف.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: صرحت ميليسا أغارد في ظهور علني بتاريخ 17 أكتوبر 2023: """"""""""""""""منذ عام 1981، رفض مجلس شيوخ الولاية خمسة تعيينات تنفيذية فقط. اليوم، الحزب الجمهوري يضاعف هذا العدد بأكثر من الضعف.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","عذرًا، لا أستطيع التحقق من صحة هذا الخبر بناءً على المعلومات المتاحة لي.","عذرًا، لا أستطيع التحقق من صحة هذا الخبر بناءً على المعلومات المتاحة لي."
"1","إيلون ماسك صرّح في منشور على منصة X بتاريخ 2 فبراير 2024: """"""""استراتيجية بايدن هي إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"""""""" و""""""""تسوية أوضاعهم القانونية لخلق أغلبية دائمة.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: إيلون ماسك صرّح في منشور على منصة X بتاريخ 2 فبراير 2024: """"""""""""""""استراتيجية بايدن هي إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"""""""""""""""" و""""""""""""""""تسوية أوضاعهم القانونية لخلق أغلبية دائمة.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","آسف، لا أستطيع التحقق من صحة هذا الخبر.","آسف، لا أستطيع التحقق من صحة هذا الخبر."
"2","""""""""صرح روي كوبر في بيان فيتو بتاريخ 24 أغسطس 2023: """"""""مشروع قانون الانتخابات الذي أعده الجمهوريون يتطلب إلغاء الأصوات الصحيحة ... إذا رفض الكمبيوتر توقيعًا.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""صرح روي كوبر في بيان فيتو بتاريخ 24 أغسطس 2023: """"""""""""""""مشروع قانون الانتخابات الذي أعده الجمهوريون يتطلب إلغاء الأصوات الصحيحة ... إذا رفض الكمبيوتر توقيعًا.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يمكنني التحقق من صحة هذا البيان من مصادر موثوقة.","0. لا يمكنني التحقق من صحة هذا البيان من مصادر موثوقة."
"3","مديرة الانتخابات في ويسكونسن ميغان وولف """"""""سمحت بتأثير أموال 'زوكرباكس'.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: مديرة الانتخابات في ويسكونسن ميغان وولف """"""""""""""""سمحت بتأثير أموال 'زوكرباكس'.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يوجد دليل موثوق يثبت أن ميغان وولف سمحت بتأثير أموال """"""""زوكرباكس"""""""".","0. لا يوجد دليل موثوق يثبت أن ميغان وولف سمحت بتأثير أموال """"""""زوكرباكس""""""""."
"4","""""""""هل قال ترامب إنه سيكون 'حمام دم للبلاد' إذا لم يتم انتخابه؟ تحدث ترامب عن التعريفات التجارية مع الصين في تجمع انتخابي في دايتون، أوهايو، في 16 مارس 2024.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""هل قال ترامب إنه سيكون 'حمام دم للبلاد' إذا لم يتم انتخابه؟ تحدث ترامب عن التعريفات التجارية مع الصين في تجمع انتخابي في دايتون، أوهايو، في 16 مارس 2024.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","آسف، لا أستطيع التحقق من صحة هذا الخبر في الوقت الحالي.","آسف، لا أستطيع التحقق من صحة هذا الخبر في الوقت الحالي."
"5","صرح في 7 مارس 2024 في منشور على X: """"""""المليارديرات """"""""تلاعبوا"""""""" بانتخابات مجلس الشيوخ في كاليفورنيا بوسائل """"""""غير نزيهة"""""""".""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: صرح في 7 مارس 2024 في منشور على X: """"""""""""""""المليارديرات """"""""""""""""تلاعبوا"""""""""""""""" بانتخابات مجلس الشيوخ في كاليفورنيا بوسائل """"""""""""""""غير نزيهة"""""""""""""""".""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","عذرًا، لا أستطيع التحقق من صحة هذا الخبر أو تقديم استنتاجات حوله.","عذرًا، لا أستطيع التحقق من صحة هذا الخبر أو تقديم استنتاجات حوله."
"6","صرحت في 28 فبراير 2024 في منشور على إنستغرام: فيديو يظهر كامالا هاريس تقول إن الديمقراطيين سيستخدمون أموال دافعي الضرائب لرشوة الناخبين.","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: صرحت في 28 فبراير 2024 في منشور على إنستغرام: فيديو يظهر كامالا هاريس تقول إن الديمقراطيين سيستخدمون أموال دافعي الضرائب لرشوة الناخبين.  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","عذرًا، لا أستطيع التحقق من صحة هذا الخبر في الوقت الحالي.","عذرًا، لا أستطيع التحقق من صحة هذا الخبر في الوقت الحالي."
"7","إيلون ماسك صرح في منشور على منصة X بتاريخ 26 فبراير 2024: الديمقراطيون لا يرحلون المهاجرين غير الموثقين """"""""لأن كل مهاجر غير شرعي هو صوت محتمل في مرحلة ما.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: إيلون ماسك صرح في منشور على منصة X بتاريخ 26 فبراير 2024: الديمقراطيون لا يرحلون المهاجرين غير الموثقين """"""""""""""""لأن كل مهاجر غير شرعي هو صوت محتمل في مرحلة ما.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","آسف، لا أستطيع التحقق من صحة هذا الخبر.","آسف، لا أستطيع التحقق من صحة هذا الخبر."
"8","""""""""توقفت """"""""الصندوق الأسود"""""""" لسفينة دالي عن التسجيل """"""""قبل الاصطدام مباشرة"""""""" بجسر بالتيمور ثم بدأ التسجيل """"""""بعده مباشرة"""""""".""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""توقفت """"""""""""""""الصندوق الأسود"""""""""""""""" لسفينة دالي عن التسجيل """"""""""""""""قبل الاصطدام مباشرة"""""""""""""""" بجسر بالتيمور ثم بدأ التسجيل """"""""""""""""بعده مباشرة"""""""""""""""".""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا يمكنني التحقق من صحة الخبر دون مصادر موثوقة.","0. لا يمكنني التحقق من صحة الخبر دون مصادر موثوقة."
"9","صرحت كريستي نويم في منشور على منصة X بتاريخ 30 مارس 2024: """"""""جو بايدن حظر البيض ذو الطابع الديني في مسابقة تصميم بيض عيد الفصح للأطفال في البيت الأبيض.""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: صرحت كريستي نويم في منشور على منصة X بتاريخ 30 مارس 2024: """"""""""""""""جو بايدن حظر البيض ذو الطابع الديني في مسابقة تصميم بيض عيد الفصح للأطفال في البيت الأبيض.""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","عذرًا، لا أستطيع مساعدتك في ذلك.","عذرًا، لا أستطيع مساعدتك في ذلك."
"10","""""""""أصبحت ولاية ويسكونسن الولاية الثامنة والعشرين التي تمرر حظرًا على 'زوكربكس' قبل انتخابات 2024، ويسكونسن الآن هي الولاية الثامنة والعشرون التي تحظر فعليًا 'زوكربكس'""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""أصبحت ولاية ويسكونسن الولاية الثامنة والعشرين التي تمرر حظرًا على 'زوكربكس' قبل انتخابات 2024، ويسكونسن الآن هي الولاية الثامنة والعشرون التي تحظر فعليًا 'زوكربكس'""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا توجد معلومات موثوقة تؤكد أن ويسكونسن حظرت """"""""زوكربكس"""""""".","0. لا توجد معلومات موثوقة تؤكد أن ويسكونسن حظرت """"""""زوكربكس""""""""."
"11","""""""""وزارة العدل الأمريكية تقول إن مكتب التحقيقات الفيدرالي يعتقل رجلاً يُزعم أنه بايع داعش وخطط لهجمات على كنائس في أيداهو""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""وزارة العدل الأمريكية تقول إن مكتب التحقيقات الفيدرالي يعتقل رجلاً يُزعم أنه بايع داعش وخطط لهجمات على كنائس في أيداهو""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","أنا آسف، لا أستطيع التحقق من صحة الأخبار في الوقت الحالي.","أنا آسف، لا أستطيع التحقق من صحة الأخبار في الوقت الحالي."
"12","""""""""بايرون دونالدز، المرشح المحتمل لمنصب نائب الرئيس، هاجم ترامب في السابق وأشاد بالاستعانة بمصادر خارجية وخصخصة الاستحقاقات""""""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""""""""""بايرون دونالدز، المرشح المحتمل لمنصب نائب الرئيس، هاجم ترامب في السابق وأشاد بالاستعانة بمصادر خارجية وخصخصة الاستحقاقات""""""""""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا توجد معلومات موثوقة تؤكد أن بايرون دونالدز هاجم ترامب أو أيد الخصخصة.","0. لا توجد معلومات موثوقة تؤكد أن بايرون دونالدز هاجم ترامب أو أيد الخصخصة."
