"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""فيديو يظهر تايلور سويفت تحمل علمًا مكتوبًا عليه 'ترامب فاز، الديمقراطيون غشوا' في حفل جوائز جرامي 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الخبر خاطئ. الفيديو المتداول مُعدَّل رقميًا. اللقطات الأصلية من حفل جرامي 2024 تظهر سويفت بدون أي علم. وقد أكدت وكالات التحقق من الحقائق، مثل رويترز ووكالة أسوشيتد برس، أن الصورة مفبركة.","0. هذا الخبر خاطئ. الفيديو المتداول مُعدَّل رقميًا. اللقطات الأصلية من حفل جرامي 2024 تظهر سويفت بدون أي علم. وقد أكدت وكالات التحقق من الحقائق، مثل رويترز ووكالة أسوشيتد برس، أن الصورة مفبركة."
"1","هل قال ترامب حقًا """"هذا البلد مثير للشفقة للغاية""""؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل قال ترامب حقًا """"""""هذا البلد مثير للشفقة للغاية""""""""؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الاقتباس ملفق. لم يقل ترامب هذه العبارة. انتشر هذا الادعاء على وسائل التواصل الاجتماعي ونُسب إليه خطأً. وقد فنّدت وكالات أنباء موثوقة، مثل رويترز ووكالة أسوشيتد برس، هذا الادعاء وأكدت أنه زائف.","0. هذا الاقتباس ملفق. لم يقل ترامب هذه العبارة. انتشر هذا الادعاء على وسائل التواصل الاجتماعي ونُسب إليه خطأً. وقد فنّدت وكالات أنباء موثوقة، مثل رويترز ووكالة أسوشيتد برس، هذا الادعاء وأكدت أنه زائف."
"2","""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قال بايدن إنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","صحيح. في فبراير 2024، قال الرئيس بايدن خطأً إنه تحدث مؤخرًا مع فرانسوا ميتران، رئيس فرنسا الذي توفي عام 1996. كانت زلة لسان، حيث كان يقصد الرئيس الحالي إيمانويل ماكرون، وهو ما وثقته وكالات الأنباء العالمية مثل رويترز وأسوشيتد برس.","1. صحيح. في فبراير 2024، قال الرئيس بايدن خطأً إنه تحدث مؤخرًا مع فرانسوا ميتران، رئيس فرنسا الذي توفي عام 1996. كانت زلة لسان، حيث كان يقصد الرئيس الحالي إيمانويل ماكرون، وهو ما وثقته وكالات الأنباء العالمية مثل رويترز وأسوشيتد برس."
"3","""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""تايلور سويفت وترافيس كيلسي قالا إنهما سيغادران الولايات المتحدة إذا فاز ترامب في انتخابات 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الخبر خاطئ. لم يدلِ سويفت أو كيلسي بهذا التصريح. نشأ الادعاء على موقع إلكتروني ساخر وتم تكذيبه من قبل وكالات تدقيق الحقائق الموثوقة مثل رويترز ووكالة أسوشيتد برس، والتي لم تجد أي دليل يدعم هذا القول.","0. هذا الخبر خاطئ. لم يدلِ سويفت أو كيلسي بهذا التصريح. نشأ الادعاء على موقع إلكتروني ساخر وتم تكذيبه من قبل وكالات تدقيق الحقائق الموثوقة مثل رويترز ووكالة أسوشيتد برس، والتي لم تجد أي دليل يدعم هذا القول."
"4","أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"لا أحد من هؤلاء المرشحين"""" بدلاً من نيكي هايلي (الجمهورية)","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: أكثر من 60% من الناخبين في الانتخابات التمهيدية في نيفادا اختاروا """"""""لا أحد من هؤلاء المرشحين"""""""" بدلاً من نيكي هايلي (الجمهورية)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. الخبر صحيح. في الانتخابات التمهيدية للحزب الجمهوري في نيفادا يوم 6 فبراير 2024، حصل خيار """"""""لا أحد من هؤلاء المرشحين"""""""" بالفعل على أكثر من 63% من الأصوات، متفوقًا بفارق كبير على نيكي هيلي التي حصلت على حوالي 30%، وفقًا للنتائج الرسمية.","<1>. الخبر صحيح. في الانتخابات التمهيدية للحزب الجمهوري في نيفادا يوم 6 فبراير 2024، حصل خيار """"""""لا أحد من هؤلاء المرشحين"""""""" بالفعل على أكثر من 63% من الأصوات، متفوقًا بفارق كبير على نيكي هيلي التي حصلت على حوالي 30%، وفقًا للنتائج الرسمية."
"5","""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""بايدن وصف ترامب بـ 'الرئيس الحالي' خلال خطاب في يناير 2024""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. صحيح. في خطاب ألقاه بايدن في 5 يناير 2024، أشار عن طريق الخطأ إلى دونالد ترامب بـ """"""""الرئيس الحالي"""""""". وقد وثقت وكالات أنباء موثوقة مثل رويترز وأسوشيتد برس هذه الزلة اللسانية، التي تم تداولها على نطاق واسع.","<1>. صحيح. في خطاب ألقاه بايدن في 5 يناير 2024، أشار عن طريق الخطأ إلى دونالد ترامب بـ """"""""الرئيس الحالي"""""""". وقد وثقت وكالات أنباء موثوقة مثل رويترز وأسوشيتد برس هذه الزلة اللسانية، التي تم تداولها على نطاق واسع."
"6","""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""ترامب قال ذات مرة إن الجمهوريين هم 'أغبى مجموعة من الناخبين'""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. هذا الادعاء خاطئ. لقد دحضت وكالات التحقق من الحقائق (مثل رويترز وSnopes) هذا الاقتباس مرارًا وتكرارًا، مؤكدة أنه ملفق وينتشر عبر الإنترنت منذ عام 2015. لا يوجد سجل لمثل هذا التصريح.","<0>. هذا الادعاء خاطئ. لقد دحضت وكالات التحقق من الحقائق (مثل رويترز وSnopes) هذا الاقتباس مرارًا وتكرارًا، مؤكدة أنه ملفق وينتشر عبر الإنترنت منذ عام 2015. لا يوجد سجل لمثل هذا التصريح."
"7","هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل أعلن المخرج مايكل مور دعمه لترامب في انتخابات 2024؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. مايكل مور لم يعلن دعمه لترامب، بل حذر مرارًا من أن ترامب قد يفوز في 2024 لحث الديمقراطيين على التصويت. وقد أكدت وكالات أنباء موثوقة مثل رويترز وAP أن هذا الادعاء لا أساس له من الصحة.","0. الخبر خاطئ. مايكل مور لم يعلن دعمه لترامب، بل حذر مرارًا من أن ترامب قد يفوز في 2024 لحث الديمقراطيين على التصويت. وقد أكدت وكالات أنباء موثوقة مثل رويترز وAP أن هذا الادعاء لا أساس له من الصحة."
"8","""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: """"""""هل قالت نيكي هايلي إن هيلاري كلينتون ألهمتها لدخول عالم السياسة؟""""""""  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","نعم، هذا صحيح. ذكرت نيكي هايلي في مقابلة مع صحيفة نيويورك تايمز عام 2012 أن خطابًا لهيلاري كلينتون شجعت فيه النساء على أن يصبحن قائدات، هو ما ألهمها لدخول عالم السياسة والترشح لمنصب عام.","1. نعم، هذا صحيح. ذكرت نيكي هايلي في مقابلة مع صحيفة نيويورك تايمز عام 2012 أن خطابًا لهيلاري كلينتون شجعت فيه النساء على أن يصبحن قائدات، هو ما ألهمها لدخول عالم السياسة والترشح لمنصب عام."
"9","هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: هل ترامب هو أول مرشح رئاسي في التاريخ يفوز بالانتخابات التمهيدية في نيو هامبشاير ثلاث مرات؟  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 256 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. رغم فوز ترامب ثلاث مرات، إلا أنه ليس الأول. سبقه الرئيس السابق ريتشارد نيكسون الذي فاز أيضًا بالانتخابات التمهيدية للحزب الجمهوري في نيو هامبشاير ثلاث مرات في أعوام 1960 و1968 و1972.","0. الخبر خاطئ. رغم فوز ترامب ثلاث مرات، إلا أنه ليس الأول. سبقه الرئيس السابق ريتشارد نيكسون الذي فاز أيضًا بالانتخابات التمهيدية للحزب الجمهوري في نيو هامبشاير ثلاث مرات في أعوام 1960 و1968 و1972."
