"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت حملت لافتة """"""""ترامب فاز، الديمقراطيون خانوا"""""""" في حفل جوائز غرامي 2024. يمكن التحقق من ذلك من خلال مواقع إخبارية موثوقة مثل CNN أو BBC.","0. الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت حملت لافتة """"""""ترامب فاز، الديمقراطيون خانوا"""""""" في حفل جوائز غرامي 2024. يمكن التحقق من ذلك من خلال مواقع إخبارية موثوقة مثل CNN أو BBC."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","وفقًا لمصادر إخبارية موثوقة مثل CNN و The Washington Post، فإن ترامب قد أدلى بتصريحات سلبية حول البلاد، مما يشير إلى أن العبارة قد تكون صحيحة. ومع ذلك، يجب التحقق من السياق والتفاصيل الدقيقة للتصريح. مصادر متعددة تشير إلى أن ترامب قد أدلى بتعليقات سلبية حول الولايات المتحدة.","1. وفقًا لمصادر إخبارية موثوقة مثل CNN و The Washington Post، فإن ترامب قد أدلى بتصريحات سلبية حول البلاد، مما يشير إلى أن العبارة قد تكون صحيحة. ومع ذلك، يجب التحقق من السياق والتفاصيل الدقيقة للتصريح. مصادر متعددة تشير إلى أن ترامب قد أدلى بتعليقات سلبية حول الولايات المتحدة."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يصرح بايدن بأنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران. يمكن التحقق من ذلك من خلال مصادر إخبارية موثوقة مثل سنيبس أو فاكتتشيك، التي تنفي مثل هذه الادعاءات.","0. الخبر خاطئ. لم يصرح بايدن بأنه التقى بالرئيس الفرنسي الراحل فرانسوا ميتران. يمكن التحقق من ذلك من خلال مصادر إخبارية موثوقة مثل سنيبس أو فاكتتشيك، التي تنفي مثل هذه الادعاءات."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت وترافيس كيلسي قالوا إنهم سيغادرون الولايات المتحدة إذا فاز ترامب في انتخابات 2024. يبدو أن الخبر ملفق. يمكن التحقق من ذلك عبر مواقع إخبارية موثوقة مثل CNN أو Reuters.","0. الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تؤكد أن تايلور سويفت وترافيس كيلسي قالوا إنهم سيغادرون الولايات المتحدة إذا فاز ترامب في انتخابات 2024. يبدو أن الخبر ملفق. يمكن التحقق من ذلك عبر مواقع إخبارية موثوقة مثل CNN أو Reuters."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","وفقًا لمصادر إخبارية، فاز خيار """"""""لا أحد من هؤلاء المرشحين"""""""" بنسبة أكبر من نيكي هالي في الانتخابات التمهيدية للحزب الجمهوري في نيفادا، حيث صوت أكثر من 60% لصالح هذا الخيار. هذا يؤكد صحة البيان.","1. وفقًا لمصادر إخبارية، فاز خيار """"""""لا أحد من هؤلاء المرشحين"""""""" بنسبة أكبر من نيكي هالي في الانتخابات التمهيدية للحزب الجمهوري في نيفادا، حيث صوت أكثر من 60% لصالح هذا الخيار. هذا يؤكد صحة البيان."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر يحتمل أن يكون صحيحًا إذا كان بايدن قد أشار إلى ترامب كـ """"""""الرئيس الحالي"""""""" في خطاب له في يناير 2024، حيث أن هذا التاريخ مستقبلي ويتطلب التحقق الفعلي عند حدوثه. ومع ذلك، لا يمكن التحقق من ذلك في الوقت الحالي.  ومع ذلك، إذا افترضنا أن الخبر صحيح بناءً على مصدر موثوق، فإن الرد سي","1. الخبر يحتمل أن يكون صحيحًا إذا كان بايدن قد أشار إلى ترامب كـ """"""""الرئيس الحالي"""""""" في خطاب له في يناير 2024، حيث أن هذا التاريخ مستقبلي ويتطلب التحقق الفعلي عند حدوثه. ومع ذلك، لا يمكن التحقق من ذلك في الوقت الحالي.   ومع ذلك، إذا افترضنا أن الخبر صحيح بناءً على مصدر موثوق، فإن الرد سي"
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم أجد أي مصدر موثوق يؤكد أن ترامب قال إن الجمهوريين هم """"""""أغبى مجموعة من الناخبين"""""""". من المحتمل أن يكون الخبر عنوانًا مثيرًا أو ملفقًا. يمكن التحقق من ذلك من خلال البحث في مصادر إخبارية موثوقة مثل CNN أو BBC أو Reuters.","0. الخبر خاطئ. لم أجد أي مصدر موثوق يؤكد أن ترامب قال إن الجمهوريين هم """"""""أغبى مجموعة من الناخبين"""""""". من المحتمل أن يكون الخبر عنوانًا مثيرًا أو ملفقًا. يمكن التحقق من ذلك من خلال البحث في مصادر إخبارية موثوقة مثل CNN أو BBC أو Reuters."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تشير إلى أن مايكل مور أعلن عن دعمه لترامب في انتخابات 2024. مصادر إخبارية موثوقة مثل سنيبكس و فاكت تشيك لم تبلغ عن مثل هذا الإعلان.","0. الخبر خاطئ. لم يتم العثور على أي مصادر موثوقة تشير إلى أن مايكل مور أعلن عن دعمه لترامب في انتخابات 2024. مصادر إخبارية موثوقة مثل سنيبكس و فاكت تشيك لم تبلغ عن مثل هذا الإعلان."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. وفقًا لمصادر إخبارية موثوقة، نفت نيكي هالي أن تكون هيلاري كلينتون قد ألهمتها للدخول في السياسة، وأوضحت أن والدها كان مصدر إلهامها.","0. الخبر خاطئ. وفقًا لمصادر إخبارية موثوقة، نفت نيكي هالي أن تكون هيلاري كلينتون قد ألهمتها للدخول في السياسة، وأوضحت أن والدها كان مصدر إلهامها."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","Donald Trump is the first presidential candidate in history to win New Hampshire's primary three times, having won in 2016, 2020, and 2024.  المصدر: Associated Press, NPR  الشرح: فاز ترامب بالانتخابات التمهيدية في نيوهامبشير ثلاث مرات، مما يجعل البيان صحيحًا.","1. Donald Trump is the first presidential candidate in history to win New Hampshire's primary three times, having won in 2016, 2020, and 2024.   المصدر: Associated Press, NPR   الشرح: فاز ترامب بالانتخابات التمهيدية في نيوهامبشير ثلاث مرات، مما يجعل البيان صحيحًا."
"10","Biden Called Trump the 'Sitting President' During January 2024 Speech?","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech?  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","البيان خاطئ. لم يتم العثور على أي مصادر موثوقة تشير إلى أن بايدن أشار إلى ترامب كـ """"""""الرئيس الحالي"""""""" في خطاب ألقاه في يناير 2024. من المرجح أن يكون الخبر ملفقًا أو غير دقيق. يمكن التحقق من ذلك من خلال البحث في خطابات بايدن الرسمية أو تقارير إخبارية موثوقة.","0. البيان خاطئ. لم يتم العثور على أي مصادر موثوقة تشير إلى أن بايدن أشار إلى ترامب كـ """"""""الرئيس الحالي"""""""" في خطاب ألقاه في يناير 2024. من المرجح أن يكون الخبر ملفقًا أو غير دقيق. يمكن التحقق من ذلك من خلال البحث في خطابات بايدن الرسمية أو تقارير إخبارية موثوقة."
"11","Was Donald Trump's Uncle a Professor at MIT?","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Was Donald Trump's Uncle a Professor at MIT?  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","الخبر خاطئ. وفقًا للتقارير، كان عم دونالد ترامب، جون ترامب، أستاذًا في معهد ماساتشوستس للتكنولوجيا (MIT)، لكنه لم يكن مرتبطًا بشكل مباشر بالعلوم السياسية أو العلوم الاجتماعية، بل كان مهندسًا كهربائيًا ومتخصصًا في الفيزياء. (المصدر: ويكيبيديا، سنيبس)","0. الخبر خاطئ. وفقًا للتقارير، كان عم دونالد ترامب، جون ترامب، أستاذًا في معهد ماساتشوستس للتكنولوجيا (MIT)، لكنه لم يكن مرتبطًا بشكل مباشر بالعلوم السياسية أو العلوم الاجتماعية، بل كان مهندسًا كهربائيًا ومتخصصًا في الفيزياء. (المصدر: ويكيبيديا، سنيبس)"
