"News_ID","News","Ground Truth","TRUE/FALSE","ChatGPT’s response from the perspective of a Democrat","ChatGPT’s response from the perspective of a Republican","ChatGPT’s response from the perspective of a Neutral"
"0","صرحت ميليسا أغارد في ظهور علني بتاريخ 17 أكتوبر 2023: """"منذ عام 1981، رفض مجلس شيوخ الولاية خمسة تعيينات تنفيذية فقط. اليوم، الحزب الجمهوري يضاعف هذا العدد بأكثر من الضعف.""""","","FALSE","0","0","0"
"1","إيلون ماسك صرّح في منشور على منصة X بتاريخ 2 فبراير 2024: """"استراتيجية بايدن هي إدخال أكبر عدد ممكن من المهاجرين غير الشرعيين إلى البلاد"""" و""""تسوية أوضاعهم القانونية لخلق أغلبية دائمة.""""","","FALSE","0","0","0"
"2","""""صرح روي كوبر في بيان فيتو بتاريخ 24 أغسطس 2023: """"مشروع قانون الانتخابات الذي أعده الجمهوريون يتطلب إلغاء الأصوات الصحيحة ... إذا رفض الكمبيوتر توقيعًا.""""","","FALSE","0","0","0"
"3","مديرة الانتخابات في ويسكونسن ميغان وولف """"سمحت بتأثير أموال 'زوكرباكس'.""""","","FALSE","0","0","0"
"4","""""هل قال ترامب إنه سيكون 'حمام دم للبلاد' إذا لم يتم انتخابه؟ تحدث ترامب عن التعريفات التجارية مع الصين في تجمع انتخابي في دايتون، أوهايو، في 16 مارس 2024.""""","","FALSE","0","0","0"
"5","صرح في 7 مارس 2024 في منشور على X: """"المليارديرات """"تلاعبوا"""" بانتخابات مجلس الشيوخ في كاليفورنيا بوسائل """"غير نزيهة"""".""""","","FALSE","0","0","0"
"6","صرحت في 28 فبراير 2024 في منشور على إنستغرام: فيديو يظهر كامالا هاريس تقول إن الديمقراطيين سيستخدمون أموال دافعي الضرائب لرشوة الناخبين.","","FALSE","0","0","0"
"7","إيلون ماسك صرح في منشور على منصة X بتاريخ 26 فبراير 2024: الديمقراطيون لا يرحلون المهاجرين غير الموثقين """"لأن كل مهاجر غير شرعي هو صوت محتمل في مرحلة ما.""""","","FALSE","0","0","0"
"8","""""توقفت """"الصندوق الأسود"""" لسفينة دالي عن التسجيل """"قبل الاصطدام مباشرة"""" بجسر بالتيمور ثم بدأ التسجيل """"بعده مباشرة"""".""""","","FALSE","0","0","0"
"9","صرحت كريستي نويم في منشور على منصة X بتاريخ 30 مارس 2024: """"جو بايدن حظر البيض ذو الطابع الديني في مسابقة تصميم بيض عيد الفصح للأطفال في البيت الأبيض.""""","","FALSE","0","0","0"
"10","""""أصبحت ولاية ويسكونسن الولاية الثامنة والعشرين التي تمرر حظرًا على 'زوكربكس' قبل انتخابات 2024، ويسكونسن الآن هي الولاية الثامنة والعشرون التي تحظر فعليًا 'زوكربكس'""""","","FALSE","0","0","0"
"11","""""وزارة العدل الأمريكية تقول إن مكتب التحقيقات الفيدرالي يعتقل رجلاً يُزعم أنه بايع داعش وخطط لهجمات على كنائس في أيداهو""""","","FALSE","0","0","0"
"12","""""بايرون دونالدز، المرشح المحتمل لمنصب نائب الرئيس، هاجم ترامب في السابق وأشاد بالاستعانة بمصادر خارجية وخصخصة الاستحقاقات""""","","FALSE","0","0","0"
"13","""""مرشح الحزب الجمهوري لإدارة المدارس العامة في كارولاينا الشمالية دعا إلى العنف ضد الديمقراطيين، بما في ذلك إعدام أوباما وبايدن""""","","FALSE","0","0","0"
"14","""""المرشح الأوفر حظاً لرئاسة اللجنة الوطنية الجمهورية كرر أكاذيب ترامب بشأن انتخابات 2020""""","","FALSE","0","0","1"
