News
Rep. Dean Phillips received almost twice as many votes as Biden did in the New Hampshire primary.
"stated on March 7, 2024 in a post on X: Billionaires “rigged” the California Senate primary election through “dishonest means.”"
"FBI arrests man who allegedly pledged allegiance to ISIS and planned attacks on Idaho churches, DOJ says"
"GOP nominee to run North Carolina public schools called for violence against Democrats, including executing Obama and Biden"
GOP challengers make gains but lose bid to oust hard right in North Idaho
Rudy Giuliani still hasn’t been served his Arizona indictment
"GEORGIA 2020 ELECTION INVESTIGATION, Rudy Giuliani still hasn’t been served his Arizona indictment"
"GEORGIA 2020 ELECTION INVESTIGATION, Gateway Pundit to file for bankruptcy amid election conspiracy lawsuits"
"Shrugging at honoring the 2024 vote, at political violence and at Jan. 6"
Netanyahu says Biden presented 'incomplete' version of Gaza cease-fire
"Texas GOP leaders react to new chair, sweeping policy proposals for Lone Star State"
Biden challenger Dean Phillips faces FEC complaint lodged by left-wing group
Trump expected to move closer to clinching GOP presidential nomination with likely big win over Haley in SC
"Alex Jones stated on May 20, 2024 in an X post: “All of the satellite weather data for the day of the Iranian president’s crash has been removed.”"
