"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","هذا الخبر غير صحيح. تايلور سويفت معروفة بمواقفها السياسية المعتدلة ولم تدعم ترامب علنًا.","0. هذا الخبر غير صحيح. تايلور سويفت معروفة بمواقفها السياسية المعتدلة ولم تدعم ترامب علنًا."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم العثور على دليل موثوق يؤكد أن ترامب قال هذه العبارة بالتحديد.","0. لم يتم العثور على دليل موثوق يؤكد أن ترامب قال هذه العبارة بالتحديد."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لا توجد أدلة على أن بايدن التقى بميتران بعد وفاته.","0. لا توجد أدلة على أن بايدن التقى بميتران بعد وفاته."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يتم تأكيد هذا الخبر من مصادر موثوقة.","0. لم يتم تأكيد هذا الخبر من مصادر موثوقة."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","وفقًا لنتائج الانتخابات الأولية في نيفادا، اختار أكثر من 60% من الناخبين """"""""لا يوجد من هؤلاء المرشحين"""""""" بدلاً من نيكي هالي.","1. وفقًا لنتائج الانتخابات الأولية في نيفادا، اختار أكثر من 60% من الناخبين """"""""لا يوجد من هؤلاء المرشحين"""""""" بدلاً من نيكي هالي."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","Biden would not refer to Trump as 'sitting president' in Jan 2024, as Biden would be the incumbent. Verified from reliable news sources.","0. Biden would not refer to Trump as 'sitting president' in Jan 2024, as Biden would be the incumbent. Verified from reliable news sources."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","في عام 2016، قال ترامب في مقابلة مع وول ستريت جورنال إن بعض الناخبين الجمهوريين """"""""هم الأغبياء"""""""".","1. في عام 2016، قال ترامب في مقابلة مع وول ستريت جورنال إن بعض الناخبين الجمهوريين """"""""هم الأغبياء""""""""."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","لم يعلن مايكل مور عن دعمه لترامب في انتخابات 2024.","0. لم يعلن مايكل مور عن دعمه لترامب في انتخابات 2024."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","Nikki Haley has not stated that Hillary Clinton inspired her to enter politics. Verified from reliable sources.","0. Nikki Haley has not stated that Hillary Clinton inspired her to enter politics. Verified from reliable sources."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","Trump won New Hampshire's primary in 2016, 2020, and 2024, making him the first to do so three times.","1. Trump won New Hampshire's primary in 2016, 2020, and 2024, making him the first to do so three times."
