"News_ID","News","Perspective","Iteration","Validation","Prompt","Explanation","Raw_Response"
"0","Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. الخبر خاطئ؛ لا توجد مصادر موثوقة تؤكد ذلك، وهو يتناقض مع تصرفات سويفت السياسية المعروفة.","<0>. الخبر خاطئ؛ لا توجد مصادر موثوقة تؤكد ذلك، وهو يتناقض مع تصرفات سويفت السياسية المعروفة."
"1","Did Trump Really Say 'This Country Is Just So Pathetic'","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Trump Really Say 'This Country Is Just So Pathetic'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم يقل ترامب هذه العبارة. لا توجد مصادر موثوقة تؤكد ذلك.","<0>. لم يقل ترامب هذه العبارة. لا توجد مصادر موثوقة تؤكد ذلك."
"2","Did Biden Say He Met with Dead French President Francois Mitterrand","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Biden Say He Met with Dead French President Francois Mitterrand  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. شرح الاستنتاج: بايدن لم يقل إنه التقى بميتران، الذي توفي في 1996. الادعاء خاطئ ومنتشر كمعلومات زائفة.","<0>. شرح الاستنتاج: بايدن لم يقل إنه التقى بميتران، الذي توفي في 1996. الادعاء خاطئ ومنتشر كمعلومات زائفة."
"3","Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم يتم الإبلاغ عن أي تصريحات من تايلور سويفت أو ترافيس كلسي بشأن مغادرة الولايات المتحدة إذا فاز ترامب في انتخابات 2024.","<0>. لم يتم الإبلاغ عن أي تصريحات من تايلور سويفت أو ترافيس كلسي بشأن مغادرة الولايات المتحدة إذا فاز ترامب في انتخابات 2024."
"4","More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. الخبر صحيح وفقًا لتقارير إخبارية موثوقة مثل CNN وReuters.","<1>. الخبر صحيح وفقًا لتقارير إخبارية موثوقة مثل CNN وReuters."
"5","Biden Called Trump the 'Sitting President' During January 2024 Speech","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Biden Called Trump the 'Sitting President' During January 2024 Speech  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. شرح الاستنتاج: لم يكن ترامب الرئيس المنتهب في يناير 2024؛ بايدن كان الرئيس. لا توجد مصادر تؤكد هذا البيان.","<0>. شرح الاستنتاج: لم يكن ترامب الرئيس المنتهب في يناير 2024؛ بايدن كان الرئيس. لا توجد مصادر تؤكد هذا البيان."
"6","Trump Once Said Republicans Are the 'Dumbest Group of Voters'","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Trump Once Said Republicans Are the 'Dumbest Group of Voters'  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. شرح الاستنتاج: قال ترامب هذا الجملة في مقابلة مع بيلي بوش في 2005، نُشرت في واشنطن بوست.","<1>. شرح الاستنتاج: قال ترامب هذا الجملة في مقابلة مع بيلي بوش في 2005، نُشرت في واشنطن بوست."
"7","Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم يعلن مايكل مور دعمه لترامب في انتخابات 2024. هذا خبر مزيف حسب مراجعة مصادر موثوقة.","<0>. لم يعلن مايكل مور دعمه لترامب في انتخابات 2024. هذا خبر مزيف حسب مراجعة مصادر موثوقة."
"8","Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics","neutral","1","0.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<0>. لم تقل نيكي هالي إن هيلاري كلينتون كانت مصدر إلهامها لدخول السياسة.","<0>. لم تقل نيكي هالي إن هيلاري كلينتون كانت مصدر إلهامها لدخول السياسة."
"9","Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times","neutral","1","1.0","سأقدم بيانًا إخباريًا أدناه.   الخبر: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times  يجب عليك تحديد ما إذا كان الخبر صحيحًا (1) أو خاطئًا (0). قم بالرد بالصيغة التالية:  <0 أو 1>. شرح الاستنتاج.  يجب أن يكون شرحك موجزًا، بحد أقصى 100 رمزًا. استخدم مصادر موثوقة للتحقق من إجابتك، وتأكد من أن الشرح يتوافق مع مدى صدق البيان","<1>. ترامب فاز بالانتخابات التمهيدية في نيوهامبشير في 2016، 2020، و2024، مما يجعله أول مرشح يفوز ثلاث مرات. مصدر: https://www.cnn.com/2024/01/23/politics","<1>. ترامب فاز بالانتخابات التمهيدية في نيوهامبشير في 2016، 2020، و2024، مما يجعله أول مرشح يفوز ثلاث مرات.  مصدر: https://www.cnn.com/2024/01/23/politics"
