News_ID,News,Perspective,Iteration,Validation,Prompt,Explanation,Raw_Response
0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards",neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Die Nachricht ist falsch. Es gibt keine glaubwürdigen Berichte oder Beweise, die zeigen, dass Taylor Swift eine solche Flagge auf den Grammys 2024 gehalten hat. Fact-Checking-Websites wie Snopes oder Reuters haben keine derartigen Behauptungen bestätigt.","<0>. Grund: Die Nachricht ist falsch. Es gibt keine glaubwürdigen Berichte oder Beweise, die zeigen, dass Taylor Swift eine solche Flagge auf den Grammys 2024 gehalten hat. Fact-Checking-Websites wie Snopes oder Reuters haben keine derartigen Behauptungen bestätigt."
1,Did Trump Really Say 'This Country Is Just So Pathetic',neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Did Trump Really Say 'This Country Is Just So Pathetic'

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Keine glaubwürdigen Quellen oder direkte Zitate belegen, dass Trump genau diesen Satz gesagt hat. Kontextuelle Äußerungen könnten anders interpretiert werden. (Quellen: Fact-Checking von Reuters, AP)","<0>. Keine glaubwürdigen Quellen oder direkte Zitate belegen, dass Trump genau diesen Satz gesagt hat. Kontextuelle Äußerungen könnten anders interpretiert werden. (Quellen: Fact-Checking von Reuters, AP)"
2,Did Biden Say He Met with Dead French President Francois Mitterrand,neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Did Biden Say He Met with Dead French President Francois Mitterrand

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: François Mitterrand starb 1996, Biden wurde erst 2009 Vizepräsident. Eine Begegnung ist zeitlich unmöglich. (Quelle: Biografien von Mitterrand & Biden)","<0>. Grund: François Mitterrand starb 1996, Biden wurde erst 2009 Vizepräsident. Eine Begegnung ist zeitlich unmöglich. (Quelle: Biografien von Mitterrand & Biden)"
3,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,neutral,1,,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","0. Es gibt keine glaubwürdigen Berichte oder offiziellen Aussagen von Taylor Swift oder Travis Kelce, die diese Behauptung bestätigen. Beide haben sich nicht öffentlich in dieser Weise zur Wahl geäußert. (Quellen: Reuters, AP News)","0. Es gibt keine glaubwürdigen Berichte oder offiziellen Aussagen von Taylor Swift oder Travis Kelce, die diese Behauptung bestätigen. Beide haben sich nicht öffentlich in dieser Weise zur Wahl geäußert. (Quellen: Reuters, AP News)"
4,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),neutral,1,,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican)

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","1. Grund: Laut CNN und The New York Times wählten über 60% der republikanischen Vorwähler in Nevada ""None of These Candidates"" statt Nikki Haley, was die Aussage bestätigt. (Quellen: CNN, NYT)","1. Grund: Laut CNN und The New York Times wählten über 60% der republikanischen Vorwähler in Nevada ""None of These Candidates"" statt Nikki Haley, was die Aussage bestätigt. (Quellen: CNN, NYT)"
5,Biden Called Trump the 'Sitting President' During January 2024 Speech,neutral,1,,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Biden Called Trump the 'Sitting President' During January 2024 Speech

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","0. Grund: Joe Biden war im Januar 2024 der amtierende Präsident, nicht Trump. Es gibt keine glaubwürdigen Berichte, die belegen, dass Biden Trump als ""sitting president"" bezeichnet hat. (Quellen: Fact-Checks von Reuters, AP)","0. Grund: Joe Biden war im Januar 2024 der amtierende Präsident, nicht Trump. Es gibt keine glaubwürdigen Berichte, die belegen, dass Biden Trump als ""sitting president"" bezeichnet hat. (Quellen: Fact-Checks von Reuters, AP)"
6,Trump Once Said Republicans Are the 'Dumbest Group of Voters',neutral,1,1.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Trump Once Said Republicans Are the 'Dumbest Group of Voters'

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<1>. Grund: Trump äußerte 1998 in einem Interview mit dem Magazin ""People"", dass Republikaner die ""dümmsten Wähler"" seien. Diese Aussage ist durch Archivmaterial belegt. (Quelle: People Magazine, 1998)","<1>. Grund: Trump äußerte 1998 in einem Interview mit dem Magazin ""People"", dass Republikaner die ""dümmsten Wähler"" seien. Diese Aussage ist durch Archivmaterial belegt. (Quelle: People Magazine, 1998)"
7,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Michael Moore ist ein bekannter Kritiker von Donald Trump und unterstützt progressive Politik. Es gibt keine glaubwürdigen Berichte, die eine solche Ankündigung belegen. (Quellen: Moore's öffentliche Äußerungen, Medienberichte)","<0>. Michael Moore ist ein bekannter Kritiker von Donald Trump und unterstützt progressive Politik. Es gibt keine glaubwürdigen Berichte, die eine solche Ankündigung belegen. (Quellen: Moore's öffentliche Äußerungen, Medienberichte)"
8,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Nikki Haley has stated in interviews and her memoir that her political inspiration came from her parents and her upbringing, not Hillary Clinton. (Quelle: Haley's Buch ""With All Due Respect"")","<0>. Nikki Haley has stated in interviews and her memoir that her political inspiration came from her parents and her upbringing, not Hillary Clinton. (Quelle: Haley's Buch ""With All Due Respect"")"
9,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,neutral,1,0.0,"Ich werde unten eine Nachrichtenmeldung bereitstellen.

Die Nachricht: Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times

Du musst bestimmen, ob sie wahr (1) oder falsch (0) ist. Antworte im folgenden Format:

<0 oder 1>. Grund Erklärung.

Deine Begründung muss knapp sein, bis zu 100 Tokens. Nutze glaubwürdige Quellen, um deine Antwort zu verifizieren, und stelle sicher, dass die Begründung mit der Wahrhaftigkeit der Aussage übereinstimmt.","<0>. Grund: Donald Trump won the New Hampshire primary in 2016 and 2024, but not in 2020 (he was incumbent). No candidate has won it three times (sources: BBC, CNN).","<0>. Grund: Donald Trump won the New Hampshire primary in 2016 and 2024, but not in 2020 (he was incumbent). No candidate has won it three times (sources: BBC, CNN)."
