"News_ID","News","Ground Truth","TRUE/FALSE","ChatGPT’s response from the perspective of a Democrat","ChatGPT’s response from the perspective of a Republican","ChatGPT’s response from the perspective of a Neutral"
"0","Donald Trump stated on December 4, 2023 in a Truth Social post: The Lincoln Project is “using A.I. (Artificial Intelligence)” in its “television commercials.","","FALSE","0","0","0"
"1","stated on March 7, 2024 in a post on X: Billionaires “rigged” the California Senate primary election through “dishonest means.”","","FALSE","0","0","0"
"2","Kristi Noem stated on March 30, 2024 in an X post: “Joe Biden banned ‘religious themed’ eggs at the White House’s Easter Egg design contest for kids.”","","FALSE","0","0","0"
"3","Pence blasts Trump's 'slap in the face' announcement on key issue for Christian voters, Pence, a social conservative champion, claimed that Trump's abortion announcement was a 'retreat on the Right to Life'","","FALSE","0","0","0"
"4","FBI arrests man who allegedly pledged allegiance to ISIS and planned attacks on Idaho churches, DOJ says","","FALSE","0","0","0"
"5","GOP nominee to run North Carolina public schools called for violence against Democrats, including executing Obama and Biden","","FALSE","0","0","0"
"6","Trump verdict vindicates N.Y. prosecutor who quietly pursued a risky path, Manhattan District Attorney Alvin Bragg made history with a legal case that federal prosecutors opted not to bring against former president Donald Trump.","","FALSE","0","0","0"
"7","Embattled Social Security watchdog to resign after tumultuous tenure, Social Security inspector general Gail Ennis told staff she is resigning, closing a tumultuous five-year tenure as chief watchdog for the agency.","","FALSE","0","0","0"
"8","In Arizona, election workers trained with deepfakes to prepare for 2024","","FALSE","0","0","1"
"9","House Democrat announces severe health diagnosis, says she's 'undergoing treatment'","","FALSE","0","0","0"
"10","Democrats, progressives cheering Trump verdict should be mourning this loss instead","","FALSE","0","0","0"
"11","Maldives bans Israelis from entering country during war in Gaza","","FALSE","0","0","0"
"12","Super Tuesday boosting Trump closer to clinching GOP nomination as Haley makes possible last stand","","FALSE","0","0","0"
"13","Alex Jones stated on May 20, 2024 in an X post: “All of the satellite weather data for the day of the Iranian president’s crash has been removed.”","","FALSE","0","0","0"
